; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,,
TABLE SchSmlCECStd25010012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
Common_Mech/Elec_TU,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7or3b,Common_Mech/Elec_Zn,567.77,-99996,-99996,,,,,,,
Wing1_Side1_TU,BaseVAVNoReheatTrmlUnit-2,Uncontrolled,BaseAirSys7or3b-2,Wing1_Side1_Zn,904.863,-99996,-99996,,,,,,,
Wing1_Corridor_TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7or3b-3,Wing1_Corridor_Zn,952.056,-99996,-99996,,,,,,,
Wing1_Side2_TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7or3b-4,Wing1_Side2_Zn,709.26,-99996,-99996,,,,,,,
Common_Lobby_TU,BaseVAVNoReheatTrmlUnit-5,Uncontrolled,BaseAirSys7or3b-5,Common_Lobby_Zn,600.537,-99996,-99996,,,,,,,
Common_Corridor_TU,BaseVAVNoReheatTrmlUnit-6,Uncontrolled,BaseAirSys7or3b-6,Common_Corridor_Zn,972.117,-99996,-99996,,,,,,,
Wing2_Side1_TU,BaseVAVNoReheatTrmlUnit-7,Uncontrolled,BaseAirSys7or3b-7,Wing2_Side1_Zn,890.193,-99996,-99996,,,,,,,
Wing2_Corridor_TU,BaseVAVNoReheatTrmlUnit-8,Uncontrolled,BaseAirSys7or3b-8,Wing2_Corridor_Zn,958.285,-99996,-99996,,,,,,,
Wing2_Side2_TU,BaseVAVNoReheatTrmlUnit-9,Uncontrolled,BaseAirSys7or3b-9,Wing2_Side2_Zn,736.801,-99996,-99996,,,,,,,
Common_Office_TU,BaseVAVNoReheatTrmlUnit-10,Uncontrolled,BaseAirSys7or3b-10,Common_Office_Zn,2040.09,-99996,-99996,,,,,,,
Common_Cafeteria_TU,BaseVAVNoReheatTrmlUnit-11,VAVNoReheatBox,BaseAirSys7or3b-11,Common_Cafeteria_Zn,3283.475,1641.738,-99996,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE SchSmlCECStd25010012CoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Common_Mech/Elec_CoilClg,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,16092.204,16789.167,-99996,14,11.407,1,,,,
Wing1_Side1_CoilClg,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7or3b-2,n/a,28378.69,29607.789,-99996,14,11.407,1,,,,
Wing1_Corridor_CoilClg,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7or3b-3,n/a,26983.958,28152.649,-99996,14,11.407,1,,,,
Wing1_Side2_CoilClg,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7or3b-4,n/a,20102.415,20973.062,-99996,14,11.407,1,,,,
Common_Lobby_CoilClg,BaseSys7or3b CoilClg-5,DirectExpansion,BaseAirSys7or3b-5,n/a,17241.471,17988.21,-99996,14,11.407,1,,,,
Common_Corridor_CoilClg,BaseSys7or3b CoilClg-6,DirectExpansion,BaseAirSys7or3b-6,n/a,34614.827,36114.016,-99996,14,11.407,1,,,,
Wing2_Side1_CoilClg,BaseSys7or3b CoilClg-7,DirectExpansion,BaseAirSys7or3b-7,n/a,28005.054,29217.97,-99996,14,11.407,1,,,,
Wing2_Corridor_CoilClg,BaseSys7or3b CoilClg-8,DirectExpansion,BaseAirSys7or3b-8,n/a,27160.483,28336.82,-99996,14,11.407,1,,,,
Wing2_Side2_CoilClg,BaseSys7or3b CoilClg-9,DirectExpansion,BaseAirSys7or3b-9,n/a,20883.021,21787.478,-99996,14,11.407,1,,,,
Common_Office_CoilClg,BaseSys7or3b CoilClg-10,DirectExpansion,BaseAirSys7or3b-10,n/a,61159.563,63808.421,-99996,14,11.407,1,,,,
Common_Cafeteria_CoilClg,BaseSys7or3b CoilClg-11,DirectExpansion,BaseAirSys7or3b-11,n/a,93062.931,97093.543,-99996,-99996,11,2,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE SchSmlCECStd25010012CoilHtg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Common_Mech/Elec_CoilHtg,BaseSys7or3b CoilHtg,HeatPump,BaseAirSys7or3b,n/a,17486.13,16789.167,0,-99996,-99996,,,,,
Wing1_Side1_CoilHtg,BaseSys7or3b CoilHtg-2,HeatPump,BaseAirSys7or3b-2,n/a,30836.887,29607.789,0,-99996,-99996,,,,,
Wing1_Corridor_CoilHtg,BaseSys7or3b CoilHtg-3,HeatPump,BaseAirSys7or3b-3,n/a,29321.341,28152.649,0,-99996,-99996,,,,,
Wing1_Side2_CoilHtg,BaseSys7or3b CoilHtg-4,HeatPump,BaseAirSys7or3b-4,n/a,21843.71,20973.062,0,-99996,-99996,,,,,
Common_Lobby_CoilHtg,BaseSys7or3b CoilHtg-5,HeatPump,BaseAirSys7or3b-5,n/a,18734.948,17988.21,0,-99996,-99996,,,,,
Common_Corridor_CoilHtg,BaseSys7or3b CoilHtg-6,HeatPump,BaseAirSys7or3b-6,n/a,37613.205,36114.016,0,-99996,-99996,,,,,
Wing2_Side1_CoilHtg,BaseSys7or3b CoilHtg-7,HeatPump,BaseAirSys7or3b-7,n/a,30430.886,29217.97,0,-99996,-99996,,,,,
Wing2_Corridor_CoilHtg,BaseSys7or3b CoilHtg-8,HeatPump,BaseAirSys7or3b-8,n/a,29513.157,28336.82,0,-99996,-99996,,,,,
Wing2_Side2_CoilHtg,BaseSys7or3b CoilHtg-9,HeatPump,BaseAirSys7or3b-9,n/a,22691.934,21787.478,0,-99996,-99996,,,,,
Common_Office_CoilHtg,BaseSys7or3b CoilHtg-10,HeatPump,BaseAirSys7or3b-10,n/a,66457.278,63808.421,0,-99996,-99996,,,,,
Common_Cafeteria_CoilHtg,BaseSys7or3b CoilHtg-11,HeatPump,BaseAirSys7or3b-11,n/a,101124.155,97093.543,0,-99996,-99996,,,,,
Common_Mech/Elec_SuppCoilHtg,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,12053.8,12053.8,0,-99996,-99996,,,,,
Wing1_Side1_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-2,Resistance,BaseAirSys7or3b-2,n/a,28162.972,28162.972,0,-99996,-99996,,,,,
Wing1_Corridor_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-3,Resistance,BaseAirSys7or3b-3,n/a,27656.2,27656.2,0,-99996,-99996,,,,,
Wing1_Side2_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-4,Resistance,BaseAirSys7or3b-4,n/a,25186.813,25186.813,0,-99996,-99996,,,,,
Common_Lobby_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-5,Resistance,BaseAirSys7or3b-5,n/a,14322.775,14322.775,0,-99996,-99996,,,,,
Common_Corridor_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-6,Resistance,BaseAirSys7or3b-6,n/a,27994.575,27994.575,0,-99996,-99996,,,,,
Wing2_Side1_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-7,Resistance,BaseAirSys7or3b-7,n/a,27938.269,27938.269,0,-99996,-99996,,,,,
Wing2_Corridor_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-8,Resistance,BaseAirSys7or3b-8,n/a,27751.912,27751.912,0,-99996,-99996,,,,,
Wing2_Side2_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-9,Resistance,BaseAirSys7or3b-9,n/a,25606.231,25606.231,0,-99996,-99996,,,,,
Common_Office_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-10,Resistance,BaseAirSys7or3b-10,n/a,47943.3,47943.3,0,-99996,-99996,,,,,
Common_Cafeteria_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-11,Resistance,BaseAirSys7or3b-11,n/a,122081.712,122081.712,0,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE SchSmlCECStd25010012Fan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,,
Common_Mech/Elec_Fan,BaseSys7or3b SupFan,ConstantVolume,BaseAirSys7or3b,n/a,567.77,-99996,0.65,PowerPerUnitFlow,3.51,0.483,0.5,InAirStream,0.855,0.742
Wing1_Side1_Fan,BaseSys7or3b SupFan-2,ConstantVolume,BaseAirSys7or3b-2,n/a,904.863,-99996,0.65,PowerPerUnitFlow,3.51,0.77,1,InAirStream,0.855,0.742
Wing1_Corridor_Fan,BaseSys7or3b SupFan-3,ConstantVolume,BaseAirSys7or3b-3,n/a,952.056,-99996,0.65,PowerPerUnitFlow,3.51,0.81,1,InAirStream,0.855,0.742
Wing1_Side2_Fan,BaseSys7or3b SupFan-4,ConstantVolume,BaseAirSys7or3b-4,n/a,709.26,-99996,0.65,PowerPerUnitFlow,3.51,0.603,0.75,InAirStream,0.855,0.742
Common_Lobby_Fan,BaseSys7or3b SupFan-5,ConstantVolume,BaseAirSys7or3b-5,n/a,600.537,-99996,0.65,PowerPerUnitFlow,3.51,0.511,0.75,InAirStream,0.855,0.742
Common_Corridor_Fan,BaseSys7or3b SupFan-6,ConstantVolume,BaseAirSys7or3b-6,n/a,972.117,-99996,0.65,PowerPerUnitFlow,3.51,0.827,1,InAirStream,0.855,0.742
Wing2_Side1_Fan,BaseSys7or3b SupFan-7,ConstantVolume,BaseAirSys7or3b-7,n/a,890.193,-99996,0.65,PowerPerUnitFlow,3.51,0.757,1,InAirStream,0.855,0.742
Wing2_Corridor_Fan,BaseSys7or3b SupFan-8,ConstantVolume,BaseAirSys7or3b-8,n/a,958.285,-99996,0.65,PowerPerUnitFlow,3.51,0.815,1,InAirStream,0.855,0.742
Wing2_Side2_Fan,BaseSys7or3b SupFan-9,ConstantVolume,BaseAirSys7or3b-9,n/a,736.801,-99996,0.65,PowerPerUnitFlow,3.51,0.627,0.75,InAirStream,0.855,0.742
Common_Office_Fan,BaseSys7or3b SupFan-10,ConstantVolume,BaseAirSys7or3b-10,n/a,2040.09,-99996,0.65,PowerPerUnitFlow,3.551,1.756,2,InAirStream,0.865,0.742
Common_Cafeteria_Fan,BaseSys7or3b SupFan-11,VariableSpeedDrive,BaseAirSys7or3b-11,n/a,3283.475,1641.738,0.65,PowerPerUnitFlow,3.674,2.925,3,InAirStream,0.895,0.742
ENDTABLE,,,,,,,,,,,,,,
TABLE SchSmlCECStd25010012OACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
Common_Mech/Elec_OACtrl,BaseSys7or3b OACtrl,NoEconomizer,BaseAirSys7or3b,UNDEFINED,,,,,,,,,,
Wing1_Side1_OACtrl,BaseSys7or3b OACtrl-2,NoEconomizer,BaseAirSys7or3b-2,UNDEFINED,,,,,,,,,,
Wing1_Corridor_OACtrl,BaseSys7or3b OACtrl-3,NoEconomizer,BaseAirSys7or3b-3,UNDEFINED,,,,,,,,,,
Wing1_Side2_OACtrl,BaseSys7or3b OACtrl-4,NoEconomizer,BaseAirSys7or3b-4,UNDEFINED,,,,,,,,,,
Common_Lobby_OACtrl,BaseSys7or3b OACtrl-5,NoEconomizer,BaseAirSys7or3b-5,UNDEFINED,,,,,,,,,,
Common_Corridor_OACtrl,BaseSys7or3b OACtrl-6,FixedDryBulb,BaseAirSys7or3b-6,Integrated,,,,,,,,,,
Wing2_Side1_OACtrl,BaseSys7or3b OACtrl-7,NoEconomizer,BaseAirSys7or3b-7,UNDEFINED,,,,,,,,,,
Wing2_Corridor_OACtrl,BaseSys7or3b OACtrl-8,NoEconomizer,BaseAirSys7or3b-8,UNDEFINED,,,,,,,,,,
Wing2_Side2_OACtrl,BaseSys7or3b OACtrl-9,NoEconomizer,BaseAirSys7or3b-9,UNDEFINED,,,,,,,,,,
Common_Office_OACtrl,BaseSys7or3b OACtrl-10,FixedDryBulb,BaseAirSys7or3b-10,Integrated,,,,,,,,,,
Common_Cafeteria_OACtrl,BaseSys7or3b OACtrl-11,FixedDryBulb,BaseAirSys7or3b-11,Integrated,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
