;,,,,,,,,,,,,,,
TABLE OffSmlCECStd25020012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
CoreZn TU,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7or3b,Core_ZN Thermal Zone,1090.179,-99996,-99996,,,,,,,
Perim1 TU,BaseVAVNoReheatTrmlUnit-2,Uncontrolled,BaseAirSys7or3b-2,Perimeter_ZN_1 Thermal Zone,1069.222,-99996,-99996,,,,,,,
Perim2 TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7or3b-3,Perimeter_ZN_2 Thermal Zone,610.994,-99996,-99996,,,,,,,
Perim3 TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7or3b-4,Perimeter_ZN_3 Thermal Zone,884.708,-99996,-99996,,,,,,,
Perim4 TU,BaseVAVNoReheatTrmlUnit-5,Uncontrolled,BaseAirSys7or3b-5,Perimeter_ZN_4 Thermal Zone,695.282,-99996,-99996,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffSmlCECStd25020012CoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
CoreZnCoolingCoil,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,30898.764,32237.008,-99996,14,11.407,1,,,,
Perim1ZnCoolingCoil,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7or3b-2,n/a,30884.183,32221.796,-99996,14,11.407,1,,,,
Perim2ZnCoolingCoil,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7or3b-3,n/a,17782.024,18552.174,-99996,14,11.407,1,,,,
Perim3ZnCoolingCoil,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7or3b-4,n/a,25075.1,26161.118,-99996,14,11.407,1,,,,
Perim4ZnCoolingCoil,BaseSys7or3b CoilClg-5,DirectExpansion,BaseAirSys7or3b-5,n/a,21903.908,22852.579,-99996,14,11.407,1,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffSmlCECStd25020012CoilHtg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
CoreZnHeatingCoil,BaseSys7or3b CoilHtg,HeatPump,BaseAirSys7or3b,n/a,33575.253,32237.008,0,-99996,-99996,,,,,
Perim1ZnHeatingCoil,BaseSys7or3b CoilHtg-2,HeatPump,BaseAirSys7or3b-2,n/a,33559.408,32221.796,0,-99996,-99996,,,,,
Perim2ZnHeatingCoil,BaseSys7or3b CoilHtg-3,HeatPump,BaseAirSys7or3b-3,n/a,19322.325,18552.174,0,-99996,-99996,,,,,
Perim3ZnHeatingCoil,BaseSys7or3b CoilHtg-4,HeatPump,BaseAirSys7or3b-4,n/a,27247.135,26161.118,0,-99996,-99996,,,,,
Perim4ZnHeatingCoil,BaseSys7or3b CoilHtg-5,HeatPump,BaseAirSys7or3b-5,n/a,23801.251,22852.579,0,-99996,-99996,,,,,
CoreZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,28835.287,28835.287,0,-99996,-99996,,,,,
Perim1ZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg-2,Resistance,BaseAirSys7or3b-2,n/a,25607.063,25607.063,0,-99996,-99996,,,,,
Perim2ZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg-3,Resistance,BaseAirSys7or3b-3,n/a,14836.688,14836.688,0,-99996,-99996,,,,,
Perim3ZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg-4,Resistance,BaseAirSys7or3b-4,n/a,22796.563,22796.563,0,-99996,-99996,,,,,
