;,,,,,,,,,,,,,,
TABLE OffSmlCECStd25020012STrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
CoreZn TU,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7or3b,Core_ZN Thermal Zone,1092.686,-99996,-99996,,,,,,,
Perim1 TU,BaseVAVNoReheatTrmlUnit-2,Uncontrolled,BaseAirSys7or3b-2,Perimeter_ZN_1 Thermal Zone,1099.96,-99996,-99996,,,,,,,
Perim2 TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7or3b-3,Perimeter_ZN_2 Thermal Zone,623.995,-99996,-99996,,,,,,,
Perim3 TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7or3b-4,Perimeter_ZN_3 Thermal Zone,886.618,-99996,-99996,,,,,,,
Perim4 TU,BaseVAVNoReheatTrmlUnit-5,Uncontrolled,BaseAirSys7or3b-5,Perimeter_ZN_4 Thermal Zone,709.437,-99996,-99996,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffSmlCECStd25020012SCoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
CoreZnCoolingCoil,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,30969.813,32311.134,-99996,14,11.407,1,,,,
Perim1ZnCoolingCoil,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7or3b-2,n/a,34618.895,36118.261,-99996,14,11.407,1,,,,
Perim2ZnCoolingCoil,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7or3b-3,n/a,19008.018,19831.267,-99996,14,11.407,1,,,,
Perim3ZnCoolingCoil,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7or3b-4,n/a,25129.249,26217.612,-99996,14,11.407,1,,,,
Perim4ZnCoolingCoil,BaseSys7or3b CoilClg-5,DirectExpansion,BaseAirSys7or3b-5,n/a,22285.893,23251.109,-99996,14,11.407,1,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffSmlCECStd25020012SCoilHtg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
CoreZnHeatingCoil,BaseSys7or3b CoilHtg,HeatPump,BaseAirSys7or3b,n/a,33652.455,32311.134,0,-99996,-99996,,,,,
Perim1ZnHeatingCoil,BaseSys7or3b CoilHtg-2,HeatPump,BaseAirSys7or3b-2,n/a,37617.626,36118.261,0,-99996,-99996,,,,,
Perim2ZnHeatingCoil,BaseSys7or3b CoilHtg-3,HeatPump,BaseAirSys7or3b-3,n/a,20654.515,19831.267,0,-99996,-99996,,,,,
Perim3ZnHeatingCoil,BaseSys7or3b CoilHtg-4,HeatPump,BaseAirSys7or3b-4,n/a,27305.975,26217.612,0,-99996,-99996,,,,,
Perim4ZnHeatingCoil,BaseSys7or3b CoilHtg-5,HeatPump,BaseAirSys7or3b-5,n/a,24216.324,23251.109,0,-99996,-99996,,,,,
CoreZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,28869.3,28869.3,0,-99996,-99996,,,,,
Perim1ZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg-2,Resistance,BaseAirSys7or3b-2,n/a,26073.15,26073.15,0,-99996,-99996,,,,,
