;,,,,,,,,,,,,,,
TABLE OffMedCECStd25030012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
CoreBottomZn TU,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys15,Core_bottom Thermal Zone,7496.153,1588.006,3748.077,DualMaximum,,,,,,
PerimeterBottomZn1 TU,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys15,Perimeter_bot_ZN_1 Thermal Zone,1979.388,334.765,989.694,DualMaximum,,,,,,
PerimeterBottomZn2 TU,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys15,Perimeter_bot_ZN_2 Thermal Zone,1254.01,211.935,627.005,DualMaximum,,,,,,
PerimeterBottomZn3 TU,BaseVAVBox TrmlUnit-4,ParallelFanBox,BaseAirSys15,Perimeter_bot_ZN_3 Thermal Zone,1390.055,334.765,695.028,,,,,,,
PerimeterBottomZn4 TU,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys15,Perimeter_bot_ZN_4 Thermal Zone,1348.368,211.92,674.184,DualMaximum,,,,,,
CoreMidZn TU,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys15-2,Core_mid Thermal Zone,7933.474,1588.006,3966.737,DualMaximum,,,,,,
PerimeterMidZn1 TU,BaseVAVBox TrmlUnit-7,ParallelFanBox,BaseAirSys15-2,Perimeter_mid_ZN_1 Thermal Zone,2334.021,334.765,1167.011,,,,,,,
PerimeterMidZn2 TU,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys15-2,Perimeter_mid_ZN_2 Thermal Zone,1488.185,211.935,744.092,DualMaximum,,,,,,
PerimeterMidZn3 TU,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys15-2,Perimeter_mid_ZN_3 Thermal Zone,1554.551,334.765,777.275,DualMaximum,,,,,,
PerimeterMidZn4 TU,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys15-2,Perimeter_mid_ZN_4 Thermal Zone,1631.402,211.92,815.701,DualMaximum,,,,,,
Core Top Zn TU,BaseVAVBox TrmlUnit-11,VAVReheatBox,BaseAirSys15-3,Core_top Thermal Zone,8178.369,1588.006,4089.184,DualMaximum,,,,,,
PerimeterTopZn1 TU,BaseVAVBox TrmlUnit-12,ParallelFanBox,BaseAirSys15-3,Perimeter_top_ZN_1 Thermal Zone,2391.343,334.765,1195.671,,,,,,,
PerimeterTopZn2 TU,BaseVAVBox TrmlUnit-13,VAVReheatBox,BaseAirSys15-3,Perimeter_top_ZN_2 Thermal Zone,1474.622,211.935,737.311,DualMaximum,,,,,,
PerimeterTopZn3 TU,BaseVAVBox TrmlUnit-14,VAVReheatBox,BaseAirSys15-3,Perimeter_top_ZN_3 Thermal Zone,1608.487,334.765,804.244,DualMaximum,,,,,,
PerimeterTopZn4 TU,BaseVAVBox TrmlUnit-15,VAVReheatBox,BaseAirSys15-3,Perimeter_top_ZN_4 Thermal Zone,1718.792,211.92,859.396,DualMaximum,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffMedCECStd25030012CoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Bottom VAV CoilCooling,BaseSys15 CoilClg,DirectExpansion,BaseAirSys15,UNDEFINED,461259.256,481236.674,-99996,-99996,9.8,2,,,,
Mid VAV CoilCooling,BaseSys15 CoilClg-2,DirectExpansion,BaseAirSys15-2,UNDEFINED,476072.282,496691.26,-99996,-99996,9.8,2,,,,
