;,,,,,,,,,,,,,,
TABLE OffMedCECStd25030012STrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
CoreBottomZn TU,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys15,Core_bottom Thermal Zone,7497.733,1588.005,3748.867,DualMaximum,,,,,,
PerimeterBottomZn1 TU,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys15,Perimeter_bot_ZN_1 Thermal Zone,1976.058,334.764,988.029,DualMaximum,,,,,,
PerimeterBottomZn2 TU,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys15,Perimeter_bot_ZN_2 Thermal Zone,1251.104,211.935,625.552,DualMaximum,,,,,,
PerimeterBottomZn3 TU,BaseVAVBox TrmlUnit-4,ParallelFanBox,BaseAirSys15,Perimeter_bot_ZN_3 Thermal Zone,1388.036,334.764,694.018,,,,,,,
PerimeterBottomZn4 TU,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys15,Perimeter_bot_ZN_4 Thermal Zone,1344.978,211.92,672.489,DualMaximum,,,,,,
CoreMidZn TU,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys15-2,Core_mid Thermal Zone,7934.205,1588.005,3967.102,DualMaximum,,,,,,
PerimeterMidZn1 TU,BaseVAVBox TrmlUnit-7,ParallelFanBox,BaseAirSys15-2,Perimeter_mid_ZN_1 Thermal Zone,2329.401,334.764,1164.7,,,,,,,
PerimeterMidZn2 TU,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys15-2,Perimeter_mid_ZN_2 Thermal Zone,1485.413,211.935,742.707,DualMaximum,,,,,,
PerimeterMidZn3 TU,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys15-2,Perimeter_mid_ZN_3 Thermal Zone,1551.828,334.764,775.914,DualMaximum,,,,,,
PerimeterMidZn4 TU,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys15-2,Perimeter_mid_ZN_4 Thermal Zone,1627.984,211.92,813.992,DualMaximum,,,,,,
Core Top Zn TU,BaseVAVBox TrmlUnit-11,VAVReheatBox,BaseAirSys15-3,Core_top Thermal Zone,8179.238,1588.005,4089.619,DualMaximum,,,,,,
PerimeterTopZn1 TU,BaseVAVBox TrmlUnit-12,ParallelFanBox,BaseAirSys15-3,Perimeter_top_ZN_1 Thermal Zone,2386.216,334.764,1193.108,,,,,,,
PerimeterTopZn2 TU,BaseVAVBox TrmlUnit-13,VAVReheatBox,BaseAirSys15-3,Perimeter_top_ZN_2 Thermal Zone,1471.373,211.935,735.687,DualMaximum,,,,,,
PerimeterTopZn3 TU,BaseVAVBox TrmlUnit-14,VAVReheatBox,BaseAirSys15-3,Perimeter_top_ZN_3 Thermal Zone,1602.873,334.764,801.437,DualMaximum,,,,,,
PerimeterTopZn4 TU,BaseVAVBox TrmlUnit-15,VAVReheatBox,BaseAirSys15-3,Perimeter_top_ZN_4 Thermal Zone,1715.2,211.92,857.6,DualMaximum,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffMedCECStd25030012SCoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Bottom VAV CoilCooling,BaseSys15 CoilClg,DirectExpansion,BaseAirSys15,UNDEFINED,461151.386,481124.132,-99996,-99996,9.8,2,,,,
Mid VAV CoilCooling,BaseSys15 CoilClg-2,DirectExpansion,BaseAirSys15-2,UNDEFINED,476059.658,496678.09,-99996,-99996,9.8,2,,,,
