;,,,,,,,,,,,,,,
TABLE HotSmlCECStd25070012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
BaseVAVTrmlUnit,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys5,CorridorFlr1 Thermal Zone,933.098,243.005,466.549,DualMaximum,,,,,,
BaseVAVTrmlUnit-5,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys5,EmployeeLoungeFlr1 Thermal Zone,148.178,52.65,74.089,DualMaximum,,,,,,
BaseVAVTrmlUnit-6,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys5,ExerciseCenterFlr1 Thermal Zone,152.503,52.65,76.251,DualMaximum,,,,,,
BaseVAVTrmlUnit-7,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys5,FrontLoungeFlr1 Thermal Zone,1513.379,263.27,756.689,DualMaximum,,,,,,
BaseVAVTrmlUnit-8,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys5,FrontOfficeFlr1 Thermal Zone,888.27,210.6,444.135,DualMaximum,,,,,,
BaseVAVTrmlUnit-9,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys5,LaundryRoomFlr1 Thermal Zone,905.866,157.951,452.933,DualMaximum,,,,,,
BaseVAVTrmlUnit-10,BaseVAVBox TrmlUnit-7,VAVReheatBox,BaseAirSys5,MechanicalRoomFlr1 Thermal Zone,435.651,52.654,217.826,DualMaximum,,,,,,
BaseVAVTrmlUnit-11,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys5,MeetingRoomFlr1 Thermal Zone,715.896,129.61,357.948,DualMaximum,,,,,,
BaseVAVTrmlUnit-12,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys5,FrontStairsFlr1 Thermal Zone,159.051,32.4,79.525,DualMaximum,,,,,,
BaseVAVTrmlUnit-16,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys5,FrontStorageFlr1 Thermal Zone,111.341,20.25,55.67,DualMaximum,,,,,,
BaseVAVTrmlUnit-20,BaseVAVBox TrmlUnit-11,VAVReheatBox,BaseAirSys5,RearStairsFlr1 Thermal Zone,141.26,32.408,70.63,DualMaximum,,,,,,
BaseVAVTrmlUnit-24,BaseVAVBox TrmlUnit-12,VAVReheatBox,BaseAirSys5,RearStorageFlr1 Thermal Zone,148.116,32.41,74.058,DualMaximum,,,,,,
BaseVAVTrmlUnit-28,BaseVAVBox TrmlUnit-13,VAVReheatBox,BaseAirSys5,RestroomFlr1 Thermal Zone,215.088,52.654,107.544,DualMaximum,,,,,,
BaseVAVTrmlUnit-2,BaseVAVBox TrmlUnit-14,VAVReheatBox,BaseAirSys5-2,CorridorFlr2 Thermal Zone,237.091,202.502,202.502,DualMaximum,,,,,,
BaseVAVTrmlUnit-13,BaseVAVBox TrmlUnit-15,VAVReheatBox,BaseAirSys5-2,FrontStairsFlr2 Thermal Zone,85.332,32.4,42.666,DualMaximum,,,,,,
BaseVAVTrmlUnit-17,BaseVAVBox TrmlUnit-16,VAVReheatBox,BaseAirSys5-2,FrontStorageFlr2 Thermal Zone,31.212,20.25,20.25,DualMaximum,,,,,,
BaseVAVTrmlUnit-21,BaseVAVBox TrmlUnit-17,VAVReheatBox,BaseAirSys5-2,RearStairsFlr2 Thermal Zone,73.764,32.408,36.882,DualMaximum,,,,,,
BaseVAVTrmlUnit-25,BaseVAVBox TrmlUnit-18,VAVReheatBox,BaseAirSys5-2,RearStorageFlr2 Thermal Zone,78.458,32.41,39.229,DualMaximum,,,,,,
BaseVAVTrmlUnit-3,BaseVAVBox TrmlUnit-19,VAVReheatBox,BaseAirSys5-3,CorridorFlr3 Thermal Zone,237.202,202.502,202.502,DualMaximum,,,,,,
BaseVAVTrmlUnit-14,BaseVAVBox TrmlUnit-20,VAVReheatBox,BaseAirSys5-3,FrontStairsFlr3 Thermal Zone,88.107,32.4,44.053,DualMaximum,,,,,,
BaseVAVTrmlUnit-18,BaseVAVBox TrmlUnit-21,VAVReheatBox,BaseAirSys5-3,FrontStorageFlr3 Thermal Zone,32.194,20.25,20.25,DualMaximum,,,,,,
BaseVAVTrmlUnit-22,BaseVAVBox TrmlUnit-22,VAVReheatBox,BaseAirSys5-3,RearStairsFlr3 Thermal Zone,75.196,32.408,37.598,DualMaximum,,,,,,
BaseVAVTrmlUnit-26,BaseVAVBox TrmlUnit-23,VAVReheatBox,BaseAirSys5-3,RearStorageFlr3 Thermal Zone,79.932,32.41,39.966,DualMaximum,,,,,,
BaseVAVTrmlUnit-4,BaseVAVBox TrmlUnit-24,VAVReheatBox,BaseAirSys5-4,CorridorFlr4 Thermal Zone,364.81,202.502,202.502,DualMaximum,,,,,,
BaseVAVTrmlUnit-15,BaseVAVBox TrmlUnit-25,VAVReheatBox,BaseAirSys5-4,FrontStairsFlr4 Thermal Zone,112.068,32.4,56.034,DualMaximum,,,,,,
BaseVAVTrmlUnit-19,BaseVAVBox TrmlUnit-26,VAVReheatBox,BaseAirSys5-4,FrontStorageFlr4 Thermal Zone,46.425,20.25,23.212,DualMaximum,,,,,,
