;,,,,,,,,,,,,,,
TABLE WhseCECStd25080012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
Office_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7or3b,Zn_Office,2508.555,1254.277,-99996,,,,,,,
FineStorage_TU,BaseUnctrl TrmlUnit,Uncontrolled,BaseAirSys9,Zn_FineStorage,5866.199,-99996,-99996,,,,,,,
BulkStorage_TU,BaseUnctrl TrmlUnit-2,Uncontrolled,BaseAirSys9-2,Zn_BulkStorage,25419.226,-99996,-99996,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE WhseCECStd25080012CoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Office_CoilClg,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,71099.5,74178.862,-99996,-99996,11,2,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE WhseCECStd25080012CoilHtg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Office_CoilHtg,BaseSys7or3b CoilHtg,HeatPump,BaseAirSys7or3b,n/a,77258.224,74178.862,0,-99996,-99996,,,,,
FineStorage_CoilHtg,BaseSys9 CoilHtg,Furnace,BaseAirSys9,n/a,333077.662,333077.662,0,-99996,0.81,,,,,
BulkStorage_CoilHtg,BaseSys9 CoilHtg-2,Furnace,BaseAirSys9-2,n/a,1425253.825,1425253.825,0,-99996,0.81,,,,,
Office_SuppCoilHtg,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,58007.537,58007.537,0,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE WhseCECStd25080012Fan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,(W/cfm),
Office_SupplyFan,BaseSys7or3b SupFan,VariableSpeedDrive,BaseAirSys7or3b,n/a,2508.555,1254.277,0.65,PowerPerUnitFlow,3.674,2.234,3,InAirStream,0.895,0.742
FineStorage_SupplyFan,BaseSys9 SupFan,ConstantVolume,BaseAirSys9,n/a,5866.199,-99996,0.65,PowerPerUnitFlow,3.07,4.366,5,InAirStream,0.895,0.62
BulkStorage_SupplyFan,BaseSys9 SupFan-2,ConstantVolume,BaseAirSys9-2,n/a,25419.226,-99996,0.65,PowerPerUnitFlow,3.304,20.365,25,InAirStream,0.936,0.6382
BulkStorage_ReturnFan,BaseSys RetFan,VariableSpeedDrive,BaseAirSys9-2,n/a,22877.303,0,0.65,PowerPerUnitFlow,0.224,1.243,1.5,InAirStream,0.865,0.0468
ENDTABLE,,,,,,,,,,,,,,
TABLE WhseCECStd25080012OACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
Office_OACtrl,BaseSys7or3b OACtrl,FixedDryBulb,BaseAirSys7or3b,Integrated,,,,,,,,,,
FineStorage_OACtrl,BaseSys9 OACtrl,NoEconomizer,BaseAirSys9,UNDEFINED,,,,,,,,,,
BulkStorage_OACtrl,BaseSys9 OACtrl-2,NoEconomizer,BaseAirSys9-2,UNDEFINED,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
