;,CEC Nonresidential ACM Ruleset,,,,,,,,,,
;,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,
;,,TailoredMethodLPA,,,,,,,,,
;,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,
;,,12/6/2012,L. Hovee,Initial ruleset setup,,,,,,,
;,,12/13/2017,L. Hovee,2019 Ruleset Updates,,,,,,,
;,,11/18/2021,J. Peng,2022 Ruleset Updates,,,,,,,
;,,12/5/2022,J. Peng,MFam allowances,,,,,,,
;,Standards/ACM Reference:,,,,,,,,,,
;,,TABLE 140.6-D - Tailored Method Lighting Power Allowances,,,,,,,,,
;,,TABLE 170.2-N - Tailored Method Lighting Power Allowances,,,,,,,,,
;,Notes:,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,
;,,TailoredMethodLPA.GenIllum(SpaceFunction=u:SpaceFunction),,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,
,TABLE TailoredMethodLPA,,,,,,,,,,
,,SpaceFunction,TMAllowed,GenIllum,WallDispPwr,FlrDispAndTaskPwr,OrnAndSpclEftPwr,WallLtgPwr,TaskLtgPwr,,
,,; units ->,Boolean,(Lux),(W/ft),(W/ft2),(W/ft2),(W/ft),(W/ft2),Sort order (for future updates),
,,Auditorium Area,1,300,3,0.2,0.35,-999,-999,;,311
,,"Convention, Conference, Multipurpose and Meeting Area",1,300,2,0.3,0.35,2,0.25,;,318
,,Dining Area (Bar/Lounge and Fine Dining),1,200,1.25,0.45,0.35,1.25,0.25,;,321
,,Dining Area (Cafeteria/Fast Food),1,200,1.25,0.45,0.35,1.25,0.25,;,322
,,Dining Area (Family and Leisure),1,200,1.25,0.45,0.35,1.25,0.25,;,323
,,Museum Area (Exhibition/Display),1,400,11.2,0.7,0.35,-999,-999,;,351
,,Hotel Function Area,1,200,1.8,0.12,0.35,-999,-999,;,337
,,"Lobby, Main Entry",1,200,3.4,0.2,0.35,3.5,0.25,;,345
,,Religious Worship Area,1,300,1.3,0.4,0.35,-999,-999,;,361
,,Retail Sales Area (Grocery Sales),1,600,6.6,0.6,0.35,-999,-999,;,358
,,Retail Sales Area (Retail Merchandise Sales),1,500,11.5,0.7,0.35,-999,-999,;,359
,,Theater Area (Motion Picture),1,200,2,0.2,0.35,-999,-999,;,371
,,Theater Area (Performance),1,200,7.3,0.2,0.35,-999,-999,;,372
,,"Conference, Multipurpose and Meeting Area",1,300,-999,-999,0.35,2,0.25,;,380
,,*,0,-999,-999,-999,-999,-999,-999,;,301
,ENDTABLE,,,,,,,,,,
