// This table pasted into App5-4A_SpaceBySpace-T24N_2019.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE SpaceFunctionData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FuncType,VentSpcFuncDef,OccDens,OccVentFrac,OccSensHtRt,OccLatHtRt,RecptPwrDens,HotWtrHrlyUsePerPers,BaseWtrHtrType,IntLPDReg,AllowType1,AllowArea1,AllowType2,AllowArea2,ClgUMLHLimit,HtgUMLHLimit,GasEqpPwrDens,CommRfrgEPD,IllumSetptMin,IllumSetptMax,IllumSetptAdjFacPri,IllumSetptAdjFacSec,FuncSchGrp,OccSchRef,RecptSchRef,HotWtrHtgSchRef,IntLtgRegSchRef,GasEqpSchRef,CommRfrgEqpSchRef,InfSchRef,AvailSchRef,HtgTstatSchRef,ClgTstatSchRef,ElevSchRef,EscalSchRef,WtrHtrTempSetptSchRef,SpcFuncIdx,HlthCareEligible,; 
,//SpaceBySpace,,# per 1000 ft²,,Btu / occupant,Btu / occupant,Load W/ft²,Gal/h per person,,W/ft²,,W/ft²,,W/ft²,Hrs,Hrs,Btu/h-ft2,W/ft2,lux,lux,,,,Occupancy Schedule,Receptacle Schedule,Hot Water Schedule,Regulated Lighting Schedule,Gas Equipment Schedule,Refrigeration Schedule,Infiltration Schedule,Availability Sched,Heating Setpoint Schedule (F),Cooling Setpoint Schedule (F),Elevator Schedule,Escalator Schedule,Water Heater Temperature Setpoint Schedule,Space Function Index,Is Eligible for Healthcare Exemption,; 
,Audience Seating Area,Assembly - Auditorium seating area,142.86,0.5,245,105,1,0.09,Electric,0.6,Ornamental,0.3,0,0,150,150,0,0,50,1000,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,202,1,; 
,Auditorium Area,Assembly - Auditorium seating area,142.86,0.5,245,105,1,0.09,Electric,0.7,Ornamental,0.3,"Accent, display and feature (Note 3)",0.2,150,150,0,0,50,1000,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,203,1,; 
,Auto Repair / Maintenance Area,Exhaust - Auto repair rooms,10,0.5,275,475,1,0.18,Gas,0.55,Detailed Task Work (Note 7),0.2,0,0,150,150,0.75064,0,200,1500,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,204,1,; 
,Beauty Salon Area,Retail - Beauty and nail salons,10,0.5,250,200,2,0.18,Gas,0.8,Detailed Task Work (Note 7),0.2,Ornamental,0.3,150,150,0,0,500,500,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,205,1,; 
,Civic Meeting Place Area,Assembly - Legislative chambers,66.67,0.5,250,200,1.5,0.18,Electric,1,Ornamental,0.3,0,0,150,150,0,0,30,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,206,1,; 
,"Classroom, Lecture, Training, Vocational Areas",Education - Classrooms (ages 9-18),50,0.5,245,155,1,0.18,Gas,0.7,White or Chalk Board (W/ft) (Note 1),4.5,0,0,150,150,0,0,50,500,1.5,2,School,SchoolOccupancy,SchoolReceptacle,SchoolServiceHotWater,SchoolLights,SchoolGasEquip,SchoolRefrigeration,SchoolInfiltration,SchoolHVACAvail,SchoolHtgSetpt,SchoolClgSetpt,SchoolElevator,SchoolEscalator,SchoolWtrHtrSetpt,207,1,; 
,Commercial/Industrial Storage (Refrigerated),Misc - Freezer and refrigerated spaces (<50F),0,0.5,275,475,0.2,0.18,Electric,0.45,0,0,0,0,8760,8760,0,10,50,300,1.5,2,Warehouse,WarehouseOccupancy,WarehouseReceptacle,WarehouseServiceHotWater,WarehouseLights,WarehouseGasEquip,WarehouseRefrigeration,WarehouseInfiltration,WarehouseHVACAvail,WarehouseHtgSetpt,WarehouseClgSetpt,WarehouseElevator,WarehouseEscalator,WarehouseWtrHtrSetpt,208,1,; 
,Commercial/Industrial Storage (Shipping & Handling),Misc - Shipping/receiving,5,0.5,275,475,0.5,0.18,Electric,0.6,0,0,0,0,8760,8760,0,0,50,300,1.5,2,Warehouse,WarehouseOccupancy,WarehouseReceptacle,WarehouseServiceHotWater,WarehouseLights,WarehouseGasEquip,WarehouseRefrigeration,WarehouseInfiltration,WarehouseHVACAvail,WarehouseHtgSetpt,WarehouseClgSetpt,WarehouseElevator,WarehouseEscalator,WarehouseWtrHtrSetpt,209,1,; 
,Commercial/Industrial Storage (Warehouse),Misc - Warehouses,2,0.5,275,475,0.2,0.18,Electric,0.45,0,0,0,0,8760,8760,0,0,50,300,1.5,2,Warehouse,WarehouseOccupancy,WarehouseReceptacle,WarehouseServiceHotWater,WarehouseLights,WarehouseGasEquip,WarehouseRefrigeration,WarehouseInfiltration,WarehouseHVACAvail,WarehouseHtgSetpt,WarehouseClgSetpt,WarehouseElevator,WarehouseEscalator,WarehouseWtrHtrSetpt,210,1,; 
,Computer Room,Misc - Computer (not printing),3,0.5,275,475,0,0.18,Electric,0.5,0,0,0,0,150,150,0,0,75,300,1,4,Data,DataOccupancy,DataReceptacle,DataServiceHotWater,DataLights,DataGasEquip,DataRefrigeration,DataInfiltration,DataHVACAvail,DataHtgSetpt,DataClgSetpt,DataElevator,DataEscalator,DataWtrHtrSetpt,211,1,; 
,Concourse and Atria Area,Retail - Mall common areas,33.33,0.5,250,250,0.5,0.18,Electric,0.9,Ornamental,0.3,0,0,150,150,0,0,100,300,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,212,1,; 
,"Convention, Conference, Multipurpose and Meeting Area",General - Conference/meeting,66.67,0.5,245,155,1,0.09,Electric,0.85,Ornamental,0.3,0,0,150,150,0,0,30,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,213,1,; 
,Copy Room,"Exhaust - Copy, printing rooms",10,0.5,250,250,1,0.18,Electric,0.5,0,0,0,0,8760,8760,0,0,75,500,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,214,1,; 
,Corridor Area,General - Corridors,10,0.5,250,250,0,0,Electric,0.6,0,0,0,0,8760,8760,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,215,1,; 
,Dining Area (Bar/Lounge and Fine Dining),Food Service - Restaurant dining rooms,66.67,0.5,275,275,0.5,0.578,Gas,0.55,Ornamental,0.3,0,0,150,150,0,0,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,216,1,; 
,Dining Area (Cafetaria/Fast Food),Food Service - Cafeteria/fast-food dining,66.67,0.5,275,275,0.5,0.578,Gas,0.4,Ornamental,0.3,0,0,150,150,0,0.25,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,217,1,; 
,Dining Area (Family and Leisure),Food Service - Cafeteria/fast-food dining,66.67,0.5,275,275,0.5,0.578,Gas,0.5,Ornamental,0.3,0,0,150,150,0,0.25,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,218,1,; 
,"Electrical, Mechanical, Telephone Rooms",Misc - Telephone closets,3,0.5,250,250,3,0.18,Electric,0.4,Detailed Task Work (Note 7),0.2,0,0,8760,8760,0,0,200,200,1,4,Warehouse,WarehouseOccupancy,WarehouseReceptacle,WarehouseServiceHotWater,WarehouseLights,WarehouseGasEquip,WarehouseRefrigeration,WarehouseInfiltration,WarehouseHVACAvail,WarehouseHtgSetpt,WarehouseClgSetpt,WarehouseElevator,WarehouseEscalator,WarehouseWtrHtrSetpt,219,1,; 
,Exercise/Fitness Center and Gymnasium Areas,"Sports/Entertainment - Gym, sports arena (play area)",20,0.5,255,875,0.5,0.18,Gas,0.5,0,0,0,0,150,150,0,0,150,400,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,220,1,; 
,Financial Transaction Area,Misc - Banks or bank lobbies,10,0.5,250,250,1.5,0.18,Electric,0.8,Ornamental,0.3,0,0,150,150,0,0,100,300,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,221,1,; 
,General/Commercial & Industrial Work Area (High Bay),Misc - General manufacturing (excludes heavy industrial and process using chemicals),10,0.5,275,475,1,0.18,Gas,0.65,Detailed Task Work (Note 7),0.2,0,0,150,150,0,0,300,1000,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,222,1,; 
