;,2025 CEC Residential Peak Cooling Electric Energy Use Hourly Multipliers,,,,
;,Source:,,BAW 08/08/23,,
;,,,,,
;,Last modified:,,RLE 8/14/25 Peak update,,
;,,,SAC 08/08/23 - implemented table,,
;,,,,,
;,,,,,
;,Peak Start Month:,,7,,
;,Peak End Month:,,11,,
;,Peak Start Hour:,,17,(4-5p),
;,Peak End Hour:,,21,(8-9p),
;,,,,,
;,sum: 765,,Local Time:,,
; MoDaHr,Mult,,(DST),Mo #,Hr #
10101,0,;, 01/01 01,1,1
10102,0,;, 01/01 02,1,2
10103,0,;, 01/01 03,1,3
10104,0,;, 01/01 04,1,4
10105,0,;, 01/01 05,1,5
10106,0,;, 01/01 06,1,6
10107,0,;, 01/01 07,1,7
10108,0,;, 01/01 08,1,8
10109,0,;, 01/01 09,1,9
10110,0,;, 01/01 10,1,10
10111,0,;, 01/01 11,1,11
10112,0,;, 01/01 12,1,12
10113,0,;, 01/01 13,1,13
10114,0,;, 01/01 14,1,14
10115,0,;, 01/01 15,1,15
10116,0,;, 01/01 16,1,16
10117,0,;, 01/01 17,1,17
10118,0,;, 01/01 18,1,18
10119,0,;, 01/01 19,1,19
10120,0,;, 01/01 20,1,20
10121,0,;, 01/01 21,1,21
10122,0,;, 01/01 22,1,22
10123,0,;, 01/01 23,1,23
10124,0,;, 01/01 24,1,24
10201,0,;, 01/02 01,1,1
10202,0,;, 01/02 02,1,2
10203,0,;, 01/02 03,1,3
10204,0,;, 01/02 04,1,4
10205,0,;, 01/02 05,1,5
10206,0,;, 01/02 06,1,6
10207,0,;, 01/02 07,1,7
10208,0,;, 01/02 08,1,8
10209,0,;, 01/02 09,1,9
10210,0,;, 01/02 10,1,10
10211,0,;, 01/02 11,1,11
10212,0,;, 01/02 12,1,12
10213,0,;, 01/02 13,1,13
10214,0,;, 01/02 14,1,14
10215,0,;, 01/02 15,1,15
10216,0,;, 01/02 16,1,16
10217,0,;, 01/02 17,1,17
10218,0,;, 01/02 18,1,18
10219,0,;, 01/02 19,1,19
10220,0,;, 01/02 20,1,20
10221,0,;, 01/02 21,1,21
10222,0,;, 01/02 22,1,22
10223,0,;, 01/02 23,1,23
10224,0,;, 01/02 24,1,24
10301,0,;, 01/03 01,1,1
10302,0,;, 01/03 02,1,2
10303,0,;, 01/03 03,1,3
10304,0,;, 01/03 04,1,4
10305,0,;, 01/03 05,1,5
10306,0,;, 01/03 06,1,6
10307,0,;, 01/03 07,1,7
10308,0,;, 01/03 08,1,8
10309,0,;, 01/03 09,1,9
10310,0,;, 01/03 10,1,10
10311,0,;, 01/03 11,1,11
10312,0,;, 01/03 12,1,12
10313,0,;, 01/03 13,1,13
10314,0,;, 01/03 14,1,14
10315,0,;, 01/03 15,1,15
10316,0,;, 01/03 16,1,16
10317,0,;, 01/03 17,1,17
10318,0,;, 01/03 18,1,18
10319,0,;, 01/03 19,1,19
10320,0,;, 01/03 20,1,20
10321,0,;, 01/03 21,1,21
10322,0,;, 01/03 22,1,22
10323,0,;, 01/03 23,1,23
10324,0,;, 01/03 24,1,24
10401,0,;, 01/04 01,1,1
10402,0,;, 01/04 02,1,2
10403,0,;, 01/04 03,1,3
10404,0,;, 01/04 04,1,4
10405,0,;, 01/04 05,1,5
10406,0,;, 01/04 06,1,6
10407,0,;, 01/04 07,1,7
10408,0,;, 01/04 08,1,8
10409,0,;, 01/04 09,1,9
10410,0,;, 01/04 10,1,10
10411,0,;, 01/04 11,1,11
10412,0,;, 01/04 12,1,12
10413,0,;, 01/04 13,1,13
10414,0,;, 01/04 14,1,14
10415,0,;, 01/04 15,1,15
10416,0,;, 01/04 16,1,16
10417,0,;, 01/04 17,1,17
10418,0,;, 01/04 18,1,18
10419,0,;, 01/04 19,1,19
10420,0,;, 01/04 20,1,20
10421,0,;, 01/04 21,1,21
10422,0,;, 01/04 22,1,22
10423,0,;, 01/04 23,1,23
10424,0,;, 01/04 24,1,24
10501,0,;, 01/05 01,1,1
10502,0,;, 01/05 02,1,2
10503,0,;, 01/05 03,1,3
10504,0,;, 01/05 04,1,4
10505,0,;, 01/05 05,1,5
10506,0,;, 01/05 06,1,6
10507,0,;, 01/05 07,1,7
10508,0,;, 01/05 08,1,8
10509,0,;, 01/05 09,1,9
10510,0,;, 01/05 10,1,10
10511,0,;, 01/05 11,1,11
10512,0,;, 01/05 12,1,12
10513,0,;, 01/05 13,1,13
10514,0,;, 01/05 14,1,14
10515,0,;, 01/05 15,1,15
10516,0,;, 01/05 16,1,16
10517,0,;, 01/05 17,1,17
10518,0,;, 01/05 18,1,18
10519,0,;, 01/05 19,1,19
