;,METRIC_005_20180917_LR_Source_Energy_Mod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,NORESCO Sharefile Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,B,B,B,C,C,C,D,D,D,E,E,E,F,F,F,G,G,G,H,H,H,I,I,I,J,J,J,K,K,K,L,L,L,M,M,M,N,N,N,O,O,O,P,P,P,Q,Q,Q
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10101,6.1587585,103.11,100,6.1587585,103.11,100,6.1587585,103.11,100,6.1587585,103.11,100,6.1587585,103.11,100,6.0812834,101.66,100,6.0812834,101.66,100,6.0812834,101.66,100,6.0812834,101.66,100,6.0812834,101.66,100,6.1587585,103.11,100,6.1587585,103.11,100,6.1587585,103.11,100,6.0812834,101.66,100,6.0812834,101.66,100,6.0812834,101.66,100
10102,6.1590998,103.11,100,6.1590998,103.11,100,6.1590998,103.11,100,6.1590998,103.11,100,6.1590998,103.11,100,6.0584163,101.66,100,6.0584163,101.66,100,6.0584163,101.66,100,6.0584163,101.66,100,6.0584163,101.66,100,6.1590998,103.11,100,6.1590998,103.11,100,6.1590998,103.11,100,6.0584163,101.66,100,6.0584163,101.66,100,6.0584163,101.66,100
10103,6.1594411,103.11,100,6.1594411,103.11,100,6.1594411,103.11,100,6.1594411,103.11,100,6.1594411,103.11,100,6.0584163,101.66,100,6.0584163,101.66,100,6.0584163,101.66,100,6.0584163,101.66,100,6.0584163,101.66,100,6.1594411,103.11,100,6.1594411,103.11,100,6.1594411,103.11,100,6.0584163,101.66,100,6.0584163,101.66,100,6.0584163,101.66,100
10104,6.157052,103.11,100,6.157052,103.11,100,6.157052,103.11,100,6.157052,103.11,100,6.157052,103.11,100,6.0382796,101.66,100,6.0382796,101.66,100,6.0382796,101.66,100,6.0382796,101.66,100,6.0382796,101.66,100,6.157052,103.11,100,6.157052,103.11,100,6.157052,103.11,100,6.0382796,101.66,100,6.0382796,101.66,100,6.0382796,101.66,100
10105,6.1625128,103.11,100,6.1625128,103.11,100,6.1625128,103.11,100,6.1625128,103.11,100,6.1625128,103.11,100,6.0573924,101.66,100,6.0573924,101.66,100,6.0573924,101.66,100,6.0573924,101.66,100,6.0573924,101.66,100,6.1625128,103.11,100,6.1625128,103.11,100,6.1625128,103.11,100,6.0573924,101.66,100,6.0573924,101.66,100,6.0573924,101.66,100
10106,6.170704,103.11,100,6.170704,103.11,100,6.170704,103.11,100,6.170704,103.11,100,6.170704,103.11,100,6.0577337,101.66,100,6.0577337,101.66,100,6.0577337,101.66,100,6.0577337,101.66,100,6.0577337,101.66,100,6.170704,103.11,100,6.170704,103.11,100,6.170704,103.11,100,6.0577337,101.66,100,6.0577337,101.66,100,6.0577337,101.66,100
