;,CEC CUAC (Calif. Utility Allowance Calculator) Ruleset - 2022,,,,,,,,,,,,,,,
;,Utility Territory Look-up Table ,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Last Modified:,,SAC 09/13/22 - created table from prior CUAC program data,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Source Data:,,2022_0718_Export_CUAC_Rates_Territories_Companies.xlsx,,,,,,,,,,,,,
;,,,provided by CEC IT dept. ~7/21/22,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Mod History:,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
TABLE CUAC_UtilityTerritories,,,,,,,,,,,,,,,,
;,TerritoryID,,,,,,,UtilityID,Territory,ElectricEndUseType,GasEndUseType,SummerKwhPerDay,WinterKwhPerDay,SummerThermsPerDay,WinterThermsPerDay,
,TerritoryID,IsValid,SummerKwhPerDay,WinterKwhPerDay,SummerThermsPerDay,WinterThermsPerDay,;,,,,,,,,,
,1,1,14.2,12,0.39,2.16,;,PG&E,P - Standard,Standard,All,14.2,12,0.39,2.16,
,2,1,10.3,12,0.59,2.16,;,PG&E,Q - Standard,Standard,All,10.3,12,0.59,2.16,
,3,1,18.6,11.3,0.36,1.97,;,PG&E,R - Standard,Standard,All,18.6,11.3,0.36,1.97,
,4,1,15.8,11.1,0.39,2.06,;,PG&E,S - Standard,Standard,All,15.8,11.1,0.39,2.06,
,5,1,6.8,8.2,0.59,1.81,;,PG&E,T - Standard,Standard,All,6.8,8.2,0.59,1.81,
,6,1,7.5,8.8,0.62,1.84,;,PG&E,V - Standard,Standard,All,7.5,8.8,0.62,1.84,
,7,1,20.2,10.7,0.39,1.84,;,PG&E,W - Standard,Standard,All,20.2,10.7,0.39,1.84,
,8,1,10.3,10.5,0.49,2.16,;,PG&E,X - Standard,Standard,All,10.3,10.5,0.49,2.16,
,9,1,11,12.1,0.69,2.65,;,PG&E,Y - Standard,Standard,All,11,12.1,0.69,2.65,
,10,1,6.2,8.1,0,0,;,PG&E,Z - Standard,Standard,All,6.2,8.1,0,0,
,11,1,11.4,11.3,0,0,;,SCE,6 - Standard,Standard,,11.4,11.3,0,0,
,12,1,12.6,10.6,0,0,;,SCE,8 - Standard,Standard,,12.6,10.6,0,0,
,13,1,14.4,12.6,0,0,;,SCE,16 - Standard,Standard,,14.4,12.6,0,0,
,14,1,18.9,12.5,0,0,;,SCE,10 - Standard,Standard,,18.9,12.5,0,0,
,15,1,12.4,14.3,0,0,;,SCE,9 - Electric,Standard,,12.4,14.3,0,0,
,16,1,16.5,12.3,0,0,;,SCE,9 - Standard,Standard,,16.5,12.3,0,0,
,17,1,9,9.2,0.493,1.546,;,SDG&E,Coastal - Standard,Standard,All,9,9.2,0.493,1.546,
,18,1,10.4,9.6,0.493,1.546,;,SDG&E,Inland - Standard,Standard,All,10.4,9.6,0.493,1.546,
,19,1,13.6,12.9,0.493,1.546,;,SDG&E,Mountain - Standard,Standard,All,13.6,12.9,0.493,1.546,
,20,1,15.9,10.9,0.493,1.546,;,SDG&E,Desert - Standard,Standard,All,15.9,10.9,0.493,1.546,
,21,1,0,0,0,1.176,;,SoCalGas,1 - Heat,,Heat,0,0,0,1.176,
,22,1,0,0,0,1.443,;,SoCalGas,2 - Heat,,Heat,0,0,0,1.443,
,23,1,0,0,0,2.176,;,SoCalGas,3 - Heat,,Heat,0,0,0,2.176,
,24,1,0,0,0.344,1.52,;,SoCalGas,1 - DHW & Heat,,Heat DHW,0,0,0.344,1.52,
,25,1,0,0,0.344,1.787,;,SoCalGas,2 - DHW & Heat,,Heat DHW,0,0,0.344,1.787,
,26,1,0,0,0.344,2.52,;,SoCalGas,3 - DHW & Heat,,Heat DHW,0,0,0.344,2.52,
,27,1,0,0,0.08,1.256,;,SoCalGas,1 - Cook & Heat,,Heat Cook,0,0,0.08,1.256,
,28,1,0,0,0.08,1.523,;,SoCalGas,2 - Cook & Heat,,Heat Cook,0,0,0.08,1.523,
,29,1,0,0,0.08,2.256,;,SoCalGas,3 - Cook & Heat,,Heat Cook,0,0,0.08,2.256,
,30,1,0,0,0.424,1.6,;,SoCalGas,1 - Cook & DHW & Heat,,Heat DHW Cook,0,0,0.424,1.6,
,31,1,0,0,0.424,1.867,;,SoCalGas,2 - Cook & DHW & Heat,,Heat DHW Cook,0,0,0.424,1.867,
,32,1,0,0,0.424,2.6,;,SoCalGas,3 - Cook & DHW & Heat,,Heat DHW Cook,0,0,0.424,2.6,
,33,1,0,0,0.424,0.424,;,SoCalGas,1 - Cook & DHW,,DHW Cook,0,0,0.424,0.424,
,34,1,0,0,0.424,0.424,;,SoCalGas,2 - Cook & DHW,,DHW Cook,0,0,0.424,0.424,
,35,1,0,0,0.424,0.424,;,SoCalGas,3 - Cook & DHW,,DHW Cook,0,0,0.424,0.424,
,36,1,0,0,0.344,0.344,;,SoCalGas,1 - DHW,,DHW,0,0,0.344,0.344,
,37,1,0,0,0.344,0.344,;,SoCalGas,2 - DHW,,DHW,0,0,0.344,0.344,
,38,1,0,0,0.344,0.344,;,SoCalGas,3 - DHW,,DHW,0,0,0.344,0.344,
,39,1,0,0,0.08,0.08,;,SoCalGas,1 - Cook,,Cook,0,0,0.08,0.08,
,40,1,0,0,0.08,0.08,;,SoCalGas,2 - Cook,,Cook,0,0,0.08,0.08,
,41,1,0,0,0.08,0.08,;,SoCalGas,3 - Cook,,Cook,0,0,0.08,0.08,
,42,1,16,27.4,0,0,;,PG&E,P - Electric,Electric Heat,,16,27.4,0,0,
,43,1,8.9,27.4,0,0,;,PG&E,Q - Electric,Electric Heat,,8.9,27.4,0,0,
,44,1,20.9,28.1,0,0,;,PG&E,R - Electric,Electric Heat,,20.9,28.1,0,0,
,45,1,18.7,24.9,0,0,;,PG&E,S - Electric,Electric Heat,,18.7,24.9,0,0,
,46,1,7.5,13.6,0,0,;,PG&E,T - Electric,Electric Heat,,7.5,13.6,0,0,
,47,1,10.9,16.9,0,0,;,PG&E,V - Electric,Electric Heat,,10.9,16.9,0,0,
,48,1,23.6,20,0,0,;,PG&E,W - Electric,Electric Heat,,23.6,20,0,0,
,49,1,8.9,15.4,0,0,;,PG&E,X - Electric,Electric Heat,,8.9,15.4,0,0,
,50,1,12.6,25.3,0,0,;,PG&E,Y - Electric,Electric Heat,,12.6,25.3,0,0,
,51,1,7,16.5,0,0,;,PG&E,Z - Electric,Electric Heat,,7,16.5,0,0,
,52,1,0,0,999,999,;,Propane,Coastal - All Uses,,All,0,0,999,999,
,53,1,0,0,999,999,;,Propane,Inland - All Uses,,All,0,0,999,999,
,54,1,0,0,0,0,;,No Gas,All - Standard,Standard,All,0,0,0,0,
,55,1,17.2,23.9,0,0,;,PP&L-DN,Del Norte County - Standard,Standard,,17.2,23.9,0,0,
,56,1,17.7,32.5,0,0,;,PP&L-DN,Del Norte County - Electric,Standard,,17.7,32.5,0,0,
,58,1,17.4,34.4,0,0,;,PP&L-Othr,Except Del Norte County - Electric,Standard,,17.4,34.4,0,0,
,59,1,16.1,22.6,0,0,;,PP&L-Othr,Except Del Norte County - Standard,Standard,,16.1,22.6,0,0,
,60,1,11.4,11.6,0,0,;,LADWP,Zone 1 - Standard,Standard,,11.4,11.6,0,0,
,61,1,22.8,37.1,0,0,;,SMUD,All - Electric,Standard,,22.8,37.1,0,0,
,62,1,22.8,20.6,0,0,;,SMUD,All - Standard,Standard,,22.8,20.6,0,0,
,63,1,8.8,13,0,0,;,SCE,6 - Electric,Standard,,8.8,13,0,0,
,64,1,9.8,12.7,0,0,;,SCE,8 - Electric,Standard,,9.8,12.7,0,0,
,65,1,17.9,29.1,0,0,;,SCE,5 - Electric,Standard,,17.9,29.1,0,0,
,66,1,22,12.6,0,0,;,SCE,13 - Standard,Standard,,22,12.6,0,0,
,67,1,46.4,9.9,0,0,;,SCE,15 - Standard,Standard,,46.4,9.9,0,0,
,68,1,18.7,12,0,0,;,SCE,14 - Standard,Standard,,18.7,12,0,0,
,69,1,6,8.8,0,0,;,SDG&E,Coastal - Electric,Standard,,6,8.8,0,0,
,70,1,8.7,12.2,0,0,;,SDG&E,Inland - Electric,Standard,,8.7,12.2,0,0,
,71,1,15.2,22.1,0,0,;,SDG&E,Mountain - Electric,Standard,,15.2,22.1,0,0,
,72,1,17,17.1,0,0,;,SDG&E,Desert - Electric,Standard,,17,17.1,0,0,
,73,1,32.6,33.2,0,0,;,Imperial,All - Standard,Standard,,32.6,33.2,0,0,
,74,1,10,9.9,0,0,;,Anaheim,All - Standard,Standard,,10,9.9,0,0,
,75,1,9.8,19.1,0,0,;,Anaheim,All - Electric,Standard,,9.8,19.1,0,0,
,76,1,24.5,11.6,0,0,;,Riverside,All - Standard,Standard,,24.5,11.6,0,0,
,77,1,16.3,16.6,0,0,;,Roseville,All - Standard,Standard,,16.3,16.6,0,0,
,78,1,0,0,0.473,1.691,;,LBGO,All - All Uses,,All,0,0,0.473,1.691,
,79,1,22.8,23.2,0,0,;,TID,All - Standard,Standard,,22.8,23.2,0,0,
,80,1,22.8,23.2,0,0,;,TID-West,All - Standard,Standard,,22.8,23.2,0,0,
,81,1,10.8,10.9,0.7,2,;,Palo Alto,All - Standard,Standard,All,10.8,10.9,0.7,2,
,82,1,1000,1000,0,0,;,TDPUD,All - Standard,Standard,,1000,1000,0,0,
,83,1,0,0,0.46,2.83,;,SWG-NorCal,Big Bear - All Uses,,All,0,0,0.46,2.83,
,84,1,0,0,0.66,3.09,;,SWG-NorCal,North Lake Tahoe - All Uses,,All,0,0,0.66,3.09,
,85,1,0,0,0.72,3.09,;,SWG-SLT,South Lake Tahoe - All Uses,,All,0,0,0.72,3.09,
,86,1,0,0,0.72,3.55,;,SWG-NorCal,Truckee - All Uses,,All,0,0,0.72,3.55,
,87,1,0,0,0.39,2.11,;,SWG-SoCal,Barstow - All Uses,,All,0,0,0.39,2.11,
,88,1,0,0,0.23,0.92,;,SWG-SoCal,Needles - All Uses,,All,0,0,0.23,0.92,
,89,1,0,0,0.39,2.04,;,SWG-SoCal,Victorville - All Uses,,All,0,0,0.39,2.04,
,90,1,10.6,10.8,0,0,;,Lompoc,All - Standard,Standard,,10.6,10.8,0,0,
,91,1,12.9,17.7,0,0,;,,All - Standard,Standard,,12.9,17.7,0,0,
,92,1,15.6,30.7,0,0,;,,All - Electric,Standard,,15.6,30.7,0,0,
,93,1,14.7,14.9,0,0,;,Redding,All - Standard,Standard,,14.7,14.9,0,0,
,94,1,10,10,0,0,;,Glendale,All - Standard,Standard,,10,10,0,0,
,95,1,11.7,11.9,0,0,;,Ukiah,All - Standard,Standard,,11.7,11.9,0,0,
,96,1,11.7,21.9,0,0,;,Ukiah,All - Electric,Standard,,11.7,21.9,0,0,
,97,1,23.3,16.1,0,0,;,Merced,All - Standard,Standard,,23.3,16.1,0,0,
,98,1,9.8,9.9,0,0,;,Burbank,Standard - Standard,Standard,,9.8,9.9,0,0,
,99,1,13,13.3,0,0,;,Burbank,CARE - Standard,Standard,,13,13.3,0,0,
,100,1,16.3,16.6,0,0,;,MOID,All - Standard,Standard,,16.3,16.6,0,0,
,101,1,16.3,16.6,0,0,;,MOID-MH,Mountain House - Standard,Standard,,16.3,16.6,0,0,
,102,1,8.2,8.3,0,0,;,Colton,All - Standard,Standard,,8.2,8.3,0,0,
,103,1,16.3,16.6,0,0,;,LADWP,Zone 2 - Standard,Standard,,16.3,16.6,0,0,
,104,1,32.9,32.9,0,0,;,LMUD,All - Standard,Standard,,32.9,32.9,0,0,
,105,1,32.9,32.9,0,0,;,LMUD-SIR,Susanville Indian Rancheria - Standard,Standard,,32.9,32.9,0,0,
,106,1,10.2,10.8,0,0,;,HLDBGMU,All - Standard,Standard,,10.2,10.8,0,0,
,107,1,12,12.7,0,0,;,HLDBGMU,All - Electric,Standard,,12,12.7,0,0,
,108,1,15,15,0,0,;,Banning,All - Standard,Standard,,15,15,0,0,
,109,1,15,26.5,0,0,;,Banning,All - Electric,Standard,,15,26.5,0,0,
