;,CEC Title-24 Residential Compliance Ruleset,,,,,
;,Existing EDR Envelope look-up tables,,,,,
;,Last modified:,,2/2/17 - MM,,,
;,,,,,,
;,Source Data:,,,,,
;,,,"Federal Register / Vol. 76, No. 123 / Monday, June 27, 2011 / Proposed Rules",,,
;,,,Title 24 Table 146 ,,,DEPARTMENT OF ENERGY / 10 CFR Part 430 / [Docket Number EERE–2011–BT–STD– 0011] / RIN 1904–AC06
;,,,,,,Energy Conservation Program: Energy Conservation Standards for Residential Furnaces and Residential Central Air Conditioners and Heat Pumps
;,,,,,,"NAECA_Standards_-_Fed_Reg_June_27,_2011.pdf"
;,,,,,,
;,,,,,,
;,,,,,,
;,Mod history:,,2/2/17 - MM - populated initial tables,,,
;,,,,,,
;,,,,,,
;,,,,,,
;,,,,,,
,TABLE ExEDR_CentralHVACEER,,,;,,
,,Year,EER,;,,
,,<=1978,8,;,,
,,<=1983,8,;,,
,,<=1991,8.9,;,,
,,<=1998,9.7,;,,
,,<=2000,9.7,;,,
,,<=2003,9.7,;,,
,,<=2005,9.7,;,,
,,*,13,;,,
,ENDTABLE,,,,,
,TABLE ExEDR_RoomHeatPumpEER,,,;,,
,,Year,EER,;,,
,,*,7.6,;,,
,ENDTABLE,,,,,
,TABLE ExEDR_RoomACEER,,,;,,
,,Year,EER,;,,
,,*,8.5,;,,
,ENDTABLE,,,,,
,TABLE ExEDR_AirCooledACEER,,,;,,
,,Year,EER,;,,
,,<=1995,8.5,;,,
,,*,9.8,;,,
,ENDTABLE,,,,,
,TABLE ExEDR_AirCooledHPEER,,,;,,
,,Year,EER,;,,
,,*,9.3,;,,
,ENDTABLE,,,,,
,TABLE ExEDR_EvapACEER,,,;,,
,,Year,EER,;,,
,,*,11.00,;,,
,ENDTABLE,,,,,
,TABLE ExEDR_PackagedACEER,,,;,,
,,Year,EER,;,,
,,*,8.60,;,,
,ENDTABLE,,,,,
,TABLE ExEDR_PackagedHPEER,,,;,,
,,Year,HSPF,;,,
,,*,8.60,;,,
,ENDTABLE,,,,,
;,,,,,,
