;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,,,,,,,,,,,
;,Existing EDR Window look-up tables,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,
;,Source Data:,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,
;,,Single & double pane U-factor,,"CEC 2016 Building Energy Efficiency Standards, Table 110.6-A",,,,,,,,,,,,,,,,,,
;,,Single & double pane SHGC,,"CEC 2016 Building Energy Efficiency Standards, Table 110.6-B",,,,,,,,,,,,,,,,,,
;,,Window Frame % of market,,http://buildingsdatabook.eren.doe.gov/TableView.aspx?table=5.2.1,,,,,,,,,,,,,,,,,,
;,,Window Panes % of market,,http://buildingsdatabook.eren.doe.gov/TableView.aspx?table=5.2.5,,,,,,,,,,,,,,,,,,
;,Mod history:,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,
,TABLE ExEDR_WindowProperties,,,,;,,,,,,,,,,,,,,,,,
,,Year,Panes,Frame,;,,Panes options,Frame options,,,,,,,,,,,,,,
,,<=1978,Single Pane,Aluminum,;,,Single Pane,Aluminum,,,,,,,,,,,,,,
,,<=1983,Double Pane,Aluminum,;,,Double Pane,Wood,,,,,,,,,,,,,,
,,<=1991,Double Pane,Wood,;,,Double Low-E,Vinyl,,,,,,,,,,,,,,
,,<=1998,Double Pane,Wood,;,,,,,,,,,,,,,,,,,
,,<=2000,Double Pane,Wood,;,,,,,,,,,,,,,,,,,
,,<=2003,Double Pane,Wood,;,,,,,,,,,,,,,,,,,
,,<=2005,Double Pane,Vinyl,;,,,,,,,,,,,,,,,,,
,,<=2012,Double Pane,Vinyl,;,,,,,,,,,,,,,,,,,
,,*,Double Pane,Vinyl,;,,,,,,,,,,,,,,,,,
,ENDTABLE,,,,,,,,,,,,,,,,,,,,,
,TABLE ExEDR_WindowPerformance,,,,,;,Surce listed only if different than listed above,,,,,,,,,,,,,,,
,,Panes,Frame,Ufactor,SHGC,;,Source U-Factor,Source SHGC,,,,,,,,,,,,,,
,,Single Pane,Wood,0.99,0.74,;,,,,,,,,,,,,,,,,
,,Single Pane,Aluminum,1.28,0.8,;,,,,,,,,,,,,,,,,
,,Single Pane,Vinyl,0.99,0.74,;,,,,,,,,,,,,,,,,
,,Double Pane,Wood,0.58,0.65,;,,,,,,,,,,,,,,,,
,,Double Pane,Aluminum,0.79,0.7,;,,,,,,,,,,,,,,,,
,,Double Pane,Vinyl,0.58,0.65,;,,,,,,,,,,,,,,,,
,,Double Low-E,Wood,0.53,0.6,;,"ASHRAE Handbook Table 4, Chapter 30",ASHRAE Handbook Table 13 Chapter 30,,,,,,,,,,,,,,
,,Double Low-E,Aluminum,0.76,0.65,;,"ASHRAE Handbook Table 4, Chapter 30",ASHRAE Handbook Table 13 Chapter 30,,,,,,,,,,,,,,
,,Double Low-E,Vinyl,0.53,0.6,;,"ASHRAE Handbook Table 4, Chapter 30",ASHRAE Handbook Table 13 Chapter 30,,,,,,,,,,,,,,
,,*,*,-1,-1,;,,,,,,,,,,,,,,,,
,ENDTABLE,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,
