;,CEC Title-24 Residential Compliance Ruleset   ,,,,,,,,,,,
;,Solar Thermal Collector data table,,,,,,,,,,,
;,Source Data:,Solar Thermal Listing.xlsx files received from CEC 12/18/19 thru 1/8/20,,,,,,,,,,
;,Created:,1/14/20 - SAC,,,,,,,,,,
;,Last modified:,11/17/24 - RJH - Updated list from SRCC OG-100 Export_20241112-CEC.xlsx (leaving existing entries that may have been decertified),,,,,,,,,,
;,Mod history:,"04/13/21, 05/10/21,  05/11/21 & 05/12/21 - SAC - integrated updates from 2021 CBECC OG-100 Summary 20210324.xlsx",,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
TABLE SolarThermalCollectors,,,,;,(m2),,(W/m2°C),,,,,
,SRCC_IAPMOnumber,Manufacturer,BrandName,ModelNumber,Area,YIntercept,Slope,,,,,
,ForceString,ForceString,ForceString,ForceString,0,0,0,; added to ensure proper/consistent table data classification,,,,
,2012028A,Acevedo Solar Systems LLC,International Solar System,042012,1.688,0.633,-5.379,; modified - RJH 11/12/24 - was,1.688,0.638,-5.101,
,10001886,ACR Solar International,Skyline,10-01,0.944,0.589,-3.564,,,,,
,10001885,ACR Solar International,Skyline,20-01,1.888,0.599,-3.63,,,,,
,10001729,"Advanced Thermal Solar, LLC",ATS,ATS-10,1.807,0.371,-1.225,,,,,
,10001730,"Advanced Thermal Solar, LLC",ATS,ATS-20,3.431,0.371,-1.225,,,,,
,10001728,"Advanced Thermal Solar, LLC",ATS,ATS-30,5.055,0.371,-1.225,,,,,
,10001856,Agua Del Sol,Radco,308C-HP,2.193,0.848,-4.777,,,,,
,10001855,Agua Del Sol,Radco,308P-HP,2.193,0.688,-5.76,,,,,
,10001845,Agua Del Sol,Radco,405C-HP,1.871,0.779,-4.386,,,,,
,10001844,Agua Del Sol,Radco,405P-HP,1.87,0.632,-5.287,,,,,
,10001848,Agua Del Sol,Radco,408C-HP,2.998,0.841,-4.712,,,,,
,10001846,Agua Del Sol,Radco,408P-HP,2.998,0.682,-5.685,,,,,
,10001849,Agua Del Sol,Radco,410C-HP,3.707,0.842,-4.711,,,,,
,10001847,Agua Del Sol,Radco,410P-HP,3.707,0.683,-5.685,,,,,
,10002036,Alternate Energy Technologies,AE Commercial,AEC-40,3.69,0.774,-5.692,,,,,
,10001941,Alternate Energy Technologies,Alternate Energy,AE-18,1.752,0.758,-5.688,; modified - RJH 11/13/24 - was,1.752,0.742,-6.14,
,10001940,Alternate Energy Technologies,Alternate Energy,AE-21,2.048,0.75,-5.55,; modified - RJH 11/13/24 - was,1.932,0.749,-6.159,
,10001943,Alternate Energy Technologies,Alternate Energy,AE-24,2.206,0.746,-6.16,,,,,
,2011056A,Alternate Energy Technologies,Alternate Energy,AE-26,2.35,0.77,-5.715,; modified - RJH 11/13/24 - was,2.351,0.753,-6.189,
,10001858,Alternate Energy Technologies,Alternate Energy,AE-32,2.959,0.774,-5.722,; modified - RJH 11/13/24 - was,2.96,0.757,-6.204,
,10001820,Alternate Energy Technologies,Alternate Energy,AE-40,3.69,0.777,-5.727,; modified - RJH 11/13/24 - was,3.69,0.76,-6.215,
,10001944,Alternate Energy Technologies,Alternate Energy,AE-56,5.172,0.761,-6.209,,,,,
,10001956,Alternate Energy Technologies,MorningStar,MS-21,1.994,0.73,-5.455,; modified - RJH 11/13/24 - was,1.997,0.713,-5.892,
,10001957,Alternate Energy Technologies,MorningStar,MS-24,2.272,0.733,-5.469,; modified - RJH 11/13/24 - was,2.275,0.717,-5.911,
,10001958,Alternate Energy Technologies,MorningStar,MS-26,2.414,0.741,-5.492,; modified - RJH 11/13/24 - was,2.416,0.727,-5.971,
,10001959,Alternate Energy Technologies,MorningStar,MS-28,2.661,0.746,-5.522,; modified - RJH 11/13/24 - was,2.664,0.73,-5.986,
,10001960,Alternate Energy Technologies,MorningStar,MS-32,3.031,0.75,-5.537,; modified - RJH 11/13/24 - was,3.035,0.733,-6.007,
,10001961,Alternate Energy Technologies,MorningStar,MS-40,3.773,0.754,-5.553,; modified - RJH 11/13/24 - was,3.777,0.737,-6.029,
,10002012,Alternate Energy Technologies,MorningStar,MSC-20,1.921,0.733,-5.416,,,,,
,10001934,Alternate Energy Technologies,MorningStar,MSC-21,1.997,0.726,-5.38,,,,,
,10001935,Alternate Energy Technologies,MorningStar,MSC-24,2.275,0.73,-5.398,,,,,
,10001936,Alternate Energy Technologies,MorningStar,MSC-26,2.416,0.74,-5.459,,,,,
,10001937,Alternate Energy Technologies,MorningStar,MSC-28,2.664,0.743,-5.474,,,,,
,10001938,Alternate Energy Technologies,MorningStar,MSC-32,3.035,0.747,-5.494,,,,,
,10001939,Alternate Energy Technologies,MorningStar,MSC-40,3.777,0.751,-5.519,,,,,
,2007033C,Apricus Inc.,Apricus,AP-10,1.344,0.458,-1.579,,,,,
,2007033B,Apricus Inc.,Apricus,AP-20,2.685,0.458,-1.579,,,,,
,2007033A,Apricus Inc.,Apricus,AP-30,4.158,0.458,-1.579,,,,,
,2007033D,Apricus Inc.,Apricus,AP-30C,4.158,0.458,-1.579,,,,,
,10001910,Apricus Inc.,Apricus,ETC-10,1.591,0.441,-1.506,,,,,
,10001911,Apricus Inc.,Apricus,ETC-20,3.042,0.458,-2.119,; modified - RJH 11/13/24 - was,2.994,0.441,-1.506,
,10001909,Apricus Inc.,Apricus,ETC-30 / ETC-30C,4.463,0.471,-1.854,; modified - RJH 11/13/24 - was,4.397,0.441,-1.506,
,10001900,Apricus Inc.,Apricus,FPC-A26,2.423,0.693,-3.925,,,,,
,10001899,Apricus Inc.,Apricus,FPC-A32,2.989,0.697,-3.928,,,,,
,10001901,Apricus Inc.,Apricus,FPC-A40,3.73,0.697,-3.925,,,,,
,10002105,Aqua Solanor Inc,Hydro Solar,VT5815,2.342,0.42,-0.786,; added - SAC 05/10/21,,,,
,10002106,Aqua Solanor Inc,Hydro Solar,VT5820,3.083,0.42,-0.786,; added - SAC 05/10/21,,,,
,10002107,Aqua Solanor Inc,Hydro Solar,VT5825,3.824,0.42,-0.786,; added - SAC 05/10/21,,,,
,10002108,Aqua Solanor Inc,Hydro Solar,VT5830,4.565,0.42,-0.786,; added - SAC 05/10/21,,,,
,10002069,"Artic Solar, Inc.",Emperor,LH-3-2M,2.7,0.568,-0.806,,,,,
;,10002047,Bach Khoa Investment And Development Of Solar Energy Corporation,SolarBK,CFP-C-200,2.36,0.646,-4.985,; duplicate - rolled into IREX Energy… - SAC 05/11/21,,,,
,2010057B,Baymak Makina Sanayi Ve Ticaret A.S.,Baymak,Advanced X,2.013,0.711,-4.757,; renamed Manufacturer - SAC 05/11/21,,,,
,2010057A,Baymak Makina Sanayi Ve Ticaret A.S.,Baymak,Advanced XL,2.507,0.716,-4.234,,,,,
,2011108B,Baymak Makina Sanayi Ve Ticaret A.S.,Baymak,Essential X,2.013,0.736,-5.032,,,,,
,2011108A,Baymak Makina Sanayi Ve Ticaret A.S.,Baymak,Essential XL,2.507,0.732,-4.454,,,,,
,10001887,Beijing Sunda Solar Energy Technology Co Ltd,PG2.0-F/S,PG-F/S,2.042,0.675,-4.206,,,,,
,2006010A,Beijing Sunda Solar Energy Technology Co Ltd,SUNDA,SEIDO 10-10AS/AB,1.679,0.462,-1.565,,,,,
,2006010B,Beijing Sunda Solar Energy Technology Co Ltd,SUNDA,SEIDO 10-20AS/AB,3.394,0.462,-1.565,,,,,
,2004001B,Beijing Sunda Solar Energy Technology Co Ltd,SUNDA,SEIDO 1-16,3.994,0.529,-1.697,,,,,
,2004001A,Beijing Sunda Solar Energy Technology Co Ltd,SUNDA,SEIDO 1-8,1.997,0.529,-1.697,,,,,
,2007025B,Beijing Sunda Solar Energy Technology Co Ltd,SUNDA,SEIDO 2-16,4.101,0.628,-1.719,,,,,
,2007025A,Beijing Sunda Solar Energy Technology Co Ltd,SUNDA,SEIDO 2-8,2.032,0.628,-1.719,,,,,
,2006026B,Beijing Sunda Solar Energy Technology Co Ltd,SUNDA,SEIDO 5-16 AS/AB,4.097,0.492,-1.924,,,,,
,2006026A,Beijing Sunda Solar Energy Technology Co Ltd,SUNDA,SEIDO 5-8 AS/AB,2.028,0.492,-1.924,,,,,
,10002016,Beijing Sunda Solar Energy Technology Co Ltd,SUNDA,SEIDO1-16,4.09,0.526,-1.959,,,,,
,10002017,Beijing Sunda Solar Energy Technology Co Ltd,SUNDA,SEIDO8-16,4.15,0.488,-1.971,,,,,
,10001749,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPH-15/18,2.266,0.389,-2.313,,,,,
,10001752,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPH-20/18,2.986,0.389,-2.313,,,,,
,10001753,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPH-24/18,3.562,0.389,-2.313,,,,,
,10001754,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPH-25/18,3.706,0.389,-2.313,,,,,
,10001755,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPH-28/18,4.138,0.389,-2.313,,,,,
,10001756,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPH-30/18,4.426,0.389,-2.313,,,,,
,10001757,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPH-36/18,5.29,0.389,-2.313,,,,,
,2012013A,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPU-10/18,1.56,0.444,-1.552,,,,,
,2012013B,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPU-12/18,1.872,0.444,-1.552,,,,,
,2012013C,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPU-14/18,2.184,0.444,-1.552,,,,,
,2012013D,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPU-15/18,2.34,0.444,-1.552,,,,,
,2012013E,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPU-16/18,2.496,0.444,-1.552,,,,,
,2012013F,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPU-18/18,2.808,0.444,-1.552,,,,,
,2012013G,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPU-20/18,3.12,0.444,-1.552,,,,,
,2012013H,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPU-24/18,3.744,0.444,-1.552,,,,,
,2012013I,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPU-25/18,3.9,0.444,-1.552,,,,,
,2012013J,Beijing Tianpu Solar Energy Industry Co.,Tianpu,TPU-28/18,4.368,0.444,-1.552,,,,,
