;,2028 Energy Code: Residential Source Energy Hourly Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,EThree-Fangxing Liu via CEC-Gypsy Achong - 4/10/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,04/17/25 - SAC - overwrote 2025 table data w/ Res 30 yr tabs of:  2028_TDV_Source_Energy_no climate impact_20250410.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors are used to convert predicted site energy use to long run marginal source energy. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors are not used for predicting greenhouse gas emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors must be used with a computer program approved for demonstrating compliance with the 2025 Energy Code by the California Energy Commission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,"These hourly factors are formatted to the 2009 calendar year, where January 3rd & 4th are the first weekend of the year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors assume a 30-year period of analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,Electricity Long Run Source Energy,,,,,Natural Gas Long Run Source Energy,,,,,Propane Long Run Source Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,kBtu/kWh,,,,,kBtu/thrm,,,,,kBtu/thrm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; TABLE 2028Res_SOURCEbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10101,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.26799017,100,5.431657313,83.96987228,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100
10102,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.26799017,100,5.431657313,83.96987228,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100
10103,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.26799017,100,5.431657313,83.96987228,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100
10104,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.26799017,100,5.431657313,83.96987228,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100
