;,CEC CUAC (Calif. Utility Allowance Calculator) Ruleset - 2024,,,,
;,Backward compatibility for updates to utility territory and tariff selections,,,,
;,,,,,
;,Last Modified:  ,SAC 01/06/24 - defined the table for update from 3.0-SP1 to 3.0-SP2,,,
;,,,,,
;,Mod History:  ,,,,
;,,,,,
;,,,,,
;,,,,,
TABLE CUAC_UtilityRateBackCompat_SP2,,,,,
,Utility,OldTerritory,OldTariff,NewTerritory,NewTariff
,Apple -- Apple Valley Choice Energy (AVCE) CCA,SCE Region 14,"D, Region 14, Basic Allocation CORE Choice",SCE Region 14,"D, Basic Allocation CORE Choice"
,AVA -- Ava Community Energy (formerly East Bay ComEn) CCA,All,E1 BC Area T Basic,PG&E Region T,E1 Basic Bright Choice
,AVA -- Ava Community Energy (formerly East Bay ComEn) CCA,All,E1 BC Area X Basic,PG&E Region X,E1 Basic Bright Choice
,Central -- Central Coast Community Energy (3C) CCA,All,E1 3CChoice Area T Basic,PG&E Region T,E1 3CChoice Basic
,Central -- Central Coast Community Energy (3C) CCA,All,E1 3CChoice Area X Basic,PG&E Region X,E1 3CChoice Basic
,MCE -- Marin Clean Energy,Any,E1 DG Area S Basic,PG&E Region S,E1 DG Basic
,MCE -- Marin Clean Energy,Any,E1 LG Area S Basic,PG&E Region S,E1 LG Basic
,MCE -- Marin Clean Energy,Any,E-TOUA Area S Code B DG,PG&E Region S,E-TOUA Code B DG
,MCE -- Marin Clean Energy,Any,E-TOUA Area S Code B LG,PG&E Region S,E-TOUA Code B LG
,MCE -- Marin Clean Energy,Any,E-TOU-C Area S Code B LG,PG&E Region S,E-TOU-C Code B LG
,MCE -- Marin Clean Energy,Any,E1 DG Area T Basic,PG&E Region T,E1 DG Basic
,MCE -- Marin Clean Energy,Any,E1 DG Area T Basic (NEM 1.0),PG&E Region T,E1 DG Basic (NEM 1.0)
,MCE -- Marin Clean Energy,Any,E1 LG Area T Basic,PG&E Region T,E1 LG Basic
,MCE -- Marin Clean Energy,Any,E1 LG Area T Basic (NEM 1.0),PG&E Region T,E1 LG Basic (NEM 1.0)
,MCE -- Marin Clean Energy,Any,E6 DG Area T Code B,PG&E Region T,E6 DG Code B
,MCE -- Marin Clean Energy,Any,E6 LG Area T Code B,PG&E Region T,E6 LG Code B
,MCE -- Marin Clean Energy,Any,E-TOUA Area T Code B DG,PG&E Region T,E-TOUA Code B DG
,MCE -- Marin Clean Energy,Any,E-TOUA Area T Code B LG,PG&E Region T,E-TOUA Code B LG
,MCE -- Marin Clean Energy,Any,E-TOU-C Area T Code B DG,PG&E Region T,E-TOU-C Code B DG
,MCE -- Marin Clean Energy,Any,E-TOU-C Area T Code B LG,PG&E Region T,E-TOU-C Code B LG
,MCE -- Marin Clean Energy,Any,E1 DG Area X Basic,PG&E Region X,E1 DG Basic
,MCE -- Marin Clean Energy,Any,E1 DG Area X Basic (NEM 1.0),PG&E Region X,E1 DG Basic (NEM 1.0)
,MCE -- Marin Clean Energy,Any,E1 LG Area X Basic,PG&E Region X,E1 LG Basic
,MCE -- Marin Clean Energy,Any,E1 LG Area X Basic (NEM 1.0),PG&E Region X,E1 LG Basic (NEM 1.0)
,MCE -- Marin Clean Energy,Any,E6 DG Area X Code B,PG&E Region X,E6 DG Code B
,MCE -- Marin Clean Energy,Any,E6 LG Area X Code B,PG&E Region X,E6 LG Code B
,MCE -- Marin Clean Energy,Any,E-TOUA Area X Code B DG,PG&E Region X,E-TOUA Code B DG
,MCE -- Marin Clean Energy,Any,E-TOUA Area X Code B LG,PG&E Region X,E-TOUA Code B LG
,MCE -- Marin Clean Energy,Any,E-TOU-C Area X Code B DG,PG&E Region X,E-TOU-C Code B DG
,MCE -- Marin Clean Energy,Any,E-TOU-C Area X Code B LG,PG&E Region X,E-TOU-C Code B LG
,MCE -- Marin Clean Energy,Any,E-TOU-C Area X Code S DG,PG&E Region X,E-TOU-C Code S DG
,Pomona -- Pomona Choice Energy CCA,All,"D, Region 9, Basic Allocation 38% Renewable",SCE Region 9,"D, Basic Allocation 38% Renewable"
,Pomona -- Pomona Choice Energy CCA,All,"D, Region 9, Basic Allocation CARE 38% Renewable",SCE Region 9,"D, Basic Allocation 38% Renewable CARE"
,Pomona -- Pomona Choice Energy CCA,All,"D, Region 9, Basic Allocation Choice 100",SCE Region 9,"D, Basic Allocation Choice 100"
,Pomona -- Pomona Choice Energy CCA,All,"D, Region 10, Basic Allocation 38% Renewable",SCE Region 10,"D, Basic Allocation 38% Renewable"
,Pomona -- Pomona Choice Energy CCA,All,"D, Region 10, Basic Allocation CARE 38% Renewable",SCE Region 10,"D, Basic Allocation 38% Renewable CARE"
,Pomona -- Pomona Choice Energy CCA,All,"D, Region 10, Basic Allocation Choice 100",SCE Region 10,"D, Basic Allocation Choice 100"
,SCP -- Sonoma Clean Power,Any,E1 Area T Code B CS,PG&E Region T,E1 Code B CS
,SCP -- Sonoma Clean Power,Any,E1 Area T Code B CS (NEM 1.0),PG&E Region T,E1 Code B CS (NEM 1.0)
,SCP -- Sonoma Clean Power,Any,E1 Area T Code B EG,PG&E Region T,E1 Code B EG
,SCP -- Sonoma Clean Power,Any,E1 Area T Code B EG (NEM 1.0),PG&E Region T,E1 Code B EG (NEM 1.0)
,SCP -- Sonoma Clean Power,Any,E6 Area T Code B CS,PG&E Region T,E6 Code B CS
,SCP -- Sonoma Clean Power,Any,E6 Area T Code B EG,PG&E Region T,E6 Code B EG
,SCP -- Sonoma Clean Power,Any,E-TOU-C Area T Code B CS,PG&E Region T,E-TOU-C Code B CS
,SCP -- Sonoma Clean Power,Any,E-TOU-C Area T Code B EG,PG&E Region T,E-TOU-C Code B EG
,SCP -- Sonoma Clean Power,Any,E1 Area X Code B CS,PG&E Region X,E1 Code B CS
,SCP -- Sonoma Clean Power,Any,E1 Area X Code B EG,PG&E Region X,E1 Code B EG
,SCP -- Sonoma Clean Power,Any,E-TOU-C Area X Code B CS,PG&E Region X,E-TOU-C Code B CS
,SCP -- Sonoma Clean Power,Any,E-TOU-C Area X Code B EG,PG&E Region X,E-TOU-C Code B EG
,SVCE -- Silicon Vally Clean Energy CCA,PG&E Region X,E1 GS Area X Basic,PG&E Region X,E1 Basic GreenStart
;,,,,,
,*,*,*,*,ERROR
ENDTABLE,,,,,
