;,CEC CUAC (Calif. Utility Allowance Calculator) Ruleset - 2022,,,,,,,,,,,,,,,,,,,,
;,Utility Rate Look-up Table ,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,
;,Last Modified:,,SAC 09/14/22 - added missing and adjusted other Units labels (for CBECC consistency),,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,
;,Source Data:,,2022_0718_Export_CUAC_Rates_Territories_Companies.xlsx,,,,,,,,,,,,,,,,,,
;,,,provided by CEC IT dept. ~7/21/22,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,
;,Mod History:,,SAC 09/13/22 - created table from prior CUAC program data,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,
TABLE CUAC_UtilityRates,,,,,,,,,,,,,,,,,,,,,
;,RateID,,PerMonthCharge,MinimumCharge,CostPerUnitBin1MSummer,CostPerUnitBin2MSummer,CostPerUnitBin3MSummer,CostPerUnitBin4MSummer,CostPerUnitBin5MSummer,CostPerUnitBin1MWinter,CostPerUnitBin2MWinter,CostPerUnitBin3MWinter,CostPerUnitBin4MWinter,CostPerUnitBin5MWinter,Units,,UtilityID,RateName,CARE,Commodity,Notes
,RateID,IsValid,MonthlyCharge,MinMonthlyCharge,UnitCost,UnitCost,UnitCost,UnitCost,UnitCost,UnitCost,UnitCost,UnitCost,UnitCost,UnitCost,Units,;,,,,,
,Season=,0,0,0,2,2,2,2,2,1,1,1,1,1,0,;,,,,,
,Bin=,0,0,0,1,2,3,4,5,1,2,3,4,5,0,;,,,,,
,1,1,10.12,10.12,0.26101,0.32781,0.40969,0.40969,0.40969,0.26101,0.32781,0.40969,0.40969,0.40969,kWh,;,PG&E,Standard,FALSE,Electricity,"Updated per Schedule EL-1, latest effective date 8/1/21. CEC staff update 8/26/21."
,2,1,5,4.996546,0.169891855,0.213345255,0.266608195,0.266608195,0.266608195,0.169891855,0.213345255,0.266608195,0.266608195,0.266608195,kWh,;,PG&E,CARE,TRUE,Electricity,"Updated per Schedule EL-1, latest effective date 8/1/21. CEC staff update 8/26/21."
,4,1,0.943,10.524,0.23477,0.3016,0.37692,0.37692,0.37692,0.23477,0.3016,0.3016,0.3016,0.3016,kWh,;,SCE,Standard,FALSE,Electricity,"Updated per Schedule D, Effective 6/1/21, current as of 8/26/21"
,5,1,0.73,5.26,0.1896275,0.23473775,0.28557875,0.28557875,0.28557875,0.1896275,0.23473775,0.28557875,0.28557875,0.28557875,kWh,;,SCE,CARE,TRUE,Electricity,"Updated per Schedule D-CARE, Effective 6/1/21, current as of 8/26/21"
,6,1,10.49,10.49,0.33083,0.41614,0.41614,0.41614,0.41614,0.33083,0.41614,0.41614,0.41614,0.41614,kWh,;,SDG&E,Standard,FALSE,Electricity,"Updated per Schedule DR, effective 6/1/21. CEC staff update  8/27/21."
,7,1,5.23,5.23,0.210847,0.2662985,0.2662985,0.2662985,0.2662985,0.210847,0.2662985,0.2662985,0.2662985,0.2662985,kWh,;,SDG&E,CARE,TRUE,Electricity,"Updated per Schedule DR, DR-LI effective 6/1/21. CEC staff update 8/27/21."
,8,1,4,4,1.49591,1.97815,1.97815,1.97815,1.97815,1.49591,1.97815,1.97815,1.97815,1.97815,therms,;,PG&E,Standard,FALSE,Natural Gas,Updated per Gas Schedule GL-1 and Gas Schedule G-PPPS on 8/1/21. CEC staff update 8/26/21. Procurement Cost based on most recent 12 months of data.
,9,1,4,4,1.17015,1.555942,1.555942,1.555942,1.555942,1.17015,1.555942,1.555942,1.555942,1.555942,therms,;,PG&E,CARE,TRUE,Natural Gas,Updated per Gas Schedule GL-1 and Gas Schedule G-PPPS on 8/1/21. CEC staff update 8/26/21. Procurement Cost based on most recent 12 months of data.
,10,1,4.999891667,4.999891667,1.32812,1.72775,1.72775,1.72775,1.72775,1.32812,1.72775,1.72775,1.72775,1.72775,therms,;,SoCalGas,Standard,FALSE,Natural Gas,"Updated per Scheduel GR, G-CARE, G-PPS, G-SRF, and G-CP, on 8/10/2021.  Note that there is a separate minimum per-month charge for ""Space Heating Only"" customers that is not reflected in the above Per Month Charge. CEC staff update, 8/24/21."
,11,1,5,5,1.030134,1.349838,1.349838,1.349838,1.349838,1.030134,1.349838,1.349838,1.349838,1.349838,therms,;,SoCalGas,CARE,TRUE,Natural Gas,"Updated per Scheduel GR, G-CARE, G-PPS, G-SRF, and G-CP, on 8/10/21.  Note that there is a separate minimum per-month charge for ""Space Heating Only"" customers that is not reflected in the above Per Month Charge. CEC staff update, 8/24/21."
,12,1,4,4,1.96798,2.23066,2.23066,2.23066,2.23066,1.98152,2.2442,2.2442,2.2442,2.2442,therms,;,SDG&E,Standard,FALSE,Natural Gas,"Schedule GR, EFFECTIVE 8/10/21 CEC staff update 8/27/21."
,13,1,3.2,3.2,1.53529,1.745434,1.745434,1.745434,1.745434,1.53529,1.745434,1.745434,1.745434,1.745434,therms,;,SDG&E,CARE,TRUE,Natural Gas,"Schedule GR, GR-LI effective 8/10/21.  CEC staff update 8/27/21."
,14,1,0,0,2.284753672,2.284753672,2.284753672,2.284753672,2.284753672,2.752318269,2.752318269,2.752318269,2.752318269,2.752318269,gallons,;,Propane,Standard,FALSE,Propane,Data re. residential propane is spotty.  Updated 07/08/17 based on data from Michael Sloan at ICF International. / CEC staff update 10/18/2017. / Expecting updates in January 2021.
,15,1,0,0,2.284753672,2.284753672,2.284753672,2.284753672,2.284753672,2.752318269,2.752318269,2.752318269,2.752318269,2.752318269,gallons,;,Propane,CARE,TRUE,Propane,Data re. residential propane is spotty.  Updated 07/08/17 based on data from Michael Sloan at ICF International. / CEC staff update 10/18/2017. / Expecting updates in January 2021.
,16,1,0,0,0,0,0,0,0,0,0,0,0,0,kWh,;,No Gas,CARE,TRUE,Natural Gas,No CARE.
,17,1,0,0,0,0,0,0,0,0,0,0,0,0,kWh,;,No Gas,Standard,FALSE,Natural Gas,
,18,1,7.53,7.53,0.13986,0.15896,0.15896,0.15896,0.15896,0.13986,0.15896,0.15896,0.15896,0.15896,kWh,;,PP&L-DN,Standard,FALSE,Electricity,"Taken from Pacific Power - California Price Summary In Effect as of 1/1/21 for Schedule D). CEC staff update, 8/23/21. / *Energy rates are the same within the entire territory served in California by the Utility."
,19,1,6.02,6.02,0.10716,0.12244,0.12244,0.12244,0.12244,0.10716,0.12244,0.12244,0.12244,0.12244,kWh,;,PP&L-DN,CARE,TRUE,Electricity,"Taken from Pacific Power - California Price Summary In Effect as of 1/1/2021 for Schedule DL (Residential CARE). CEC staff update, 8/23/21. / *Energy rates are the same within the entire territory served in California by the Utility."
,20,1,7.53,7.53,0.13986,0.15896,0.15896,0.15896,0.15896,0.13986,0.15896,0.15896,0.15896,0.15896,kWh,;,PP&L-Othr,Standard,FALSE,Electricity,"Taken from Pacific Power - California Price Summary In Effect as of 1/1/21 for Schedule D). CEC staff update, 8/23/21. / *Energy rates are the same within the entire territory served in California by the Utility."
,21,1,6.02,6.02,0.10716,0.12244,0.12244,0.12244,0.12244,0.10716,0.12244,0.12244,0.12244,0.12244,kWh,;,PP&L-Othr,CARE,TRUE,Electricity,"Taken from Pacific Power - California Price Summary In Effect as of 1/1/21 for Schedule DL (Residential CARE). CEC staff update, 8/23/21. / *Energy rates are the same within the entire territory served in California by the Utility."
,22,1,7.9,10,0.18283,0.1693608,0.2466258,0.2466258,0.2466258,0.1158108,0.1609458,0.2343858,0.2343858,0.2343858,kWh,;,LADWP,Standard,FALSE,Electricity,"Schedule R-1 effective 2021. CEC staff update, 08/26/21"
,23,1,7.9,10,0.164576,0.217307,0.295616,0.295616,0.295616,0.15914,0.211871,0.211871,0.211871,0.211871,KWh,;,LADWP,CARE,TRUE,Electricity,"Schedule R-1 effective 2021. CEC staff update, 08/26/21"
,24,1,12.25,12.25,0.094202,0.094202,0.094202,0.094202,0.094202,0.05905,0.05905,0.05905,0.05905,0.05905,kWh,;,SMUD,CARE,TRUE,Electricity,"Per website materials, current as of 1/1/21. CEC staff update 8/27/21."
