;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,,,,,,,,,,
;,Distribution Systems - Buried Ducts Look-up Tables,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,6/7/19 - SAC - update CodeBase from 2019 to >=2019 to include 2022 code,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,
;,Source Data:,,"2016 Res ACM, section 2.4",,,,,,,,,,,,,,,,,,
;,,,"2019 Res Compliance Manual, chapter 4",,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,
;,Mod history:,,4/5/19 - SAC - created initial tables,,,,,,,,,,,,,,,,,,
;,,,4/17/19 - SAC - column duplication to allow for more diameter selections: new3=4 / new9=10 / new22&24=20 (tic #874),,,,,,,,,,,,,,,,,,
;,,,"4/24/19 - SAC - update recently added columns (Diameters 3, 9, 22 & 24) with new data from CEC-RJW supplied 4/19 (tic #874)",,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,
,TABLE  BuriedDuctEffectiveRValue,,,,,,,,,,,,,,,,,,,,
,,CodeBase,DuctInsul,Material,AtticInsulR,EffR,EffR,EffR,EffR,EffR,EffR,EffR,EffR,EffR,EffR,EffR,EffR,EffR,EffR,EffR,EffR
,,DuctDiam =,,,,3 in,4 in,5 in,6 in,7 in,8 in,9 in,10 in,12 in,14 in,16 in,18 in,20 in,22 in,24 in,*
,,>= 2019,R-8,Fiberglass,30,18,13,13,13,13,8,8,8,8,8,8,8,8,8,8,8
,,>= 2019,R-8,Fiberglass,38,26,18,18,18,13,13,13,13,8,8,8,8,8,8,8,8
,,>= 2019,R-8,Fiberglass,40,26,26,18,18,18,13,13,13,8,8,8,8,8,8,8,8
,,>= 2019,R-8,Fiberglass,43,26,26,26,18,18,18,13,13,13,8,8,8,8,8,8,8
,,>= 2019,R-8,Fiberglass,49,26,26,26,26,26,18,18,18,13,13,8,8,8,8,8,8
,,>= 2019,R-8,Fiberglass,60,26,26,26,26,26,26,26,26,26,18,13,13,8,8,8,8
,,>= 2019,R-8,Cellulose,30,14,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,>= 2019,R-8,Cellulose,38,20,14,14,14,14,8,8,8,8,8,8,8,8,8,8,8
,,>= 2019,R-8,Cellulose,40,20,20,14,14,14,8,8,8,8,8,8,8,8,8,8,8
,,>= 2019,R-8,Cellulose,43,20,20,20,14,14,14,8,8,8,8,8,8,8,8,8,8
,,>= 2019,R-8,Cellulose,49,32,20,20,20,20,14,14,14,8,8,8,8,8,8,8,8
,,>= 2019,R-8,Cellulose,60,32,32,32,32,20,20,20,20,14,8,8,8,8,8,8,8
,,>= 2019,R-6,Fiberglass,30,15,15,11,11,11,11,6,6,6,6,6,6,6,6,6,6
,,>= 2019,R-6,Fiberglass,38,24,24,15,15,15,15,11,11,6,6,6,6,6,6,6,6
,,>= 2019,R-6,Fiberglass,40,24,24,24,15,15,15,11,11,11,6,6,6,6,6,6,6
,,>= 2019,R-6,Fiberglass,43,24,24,24,24,15,15,15,15,11,6,6,6,6,6,6,6
,,>= 2019,R-6,Fiberglass,49,24,24,24,24,24,24,24,15,15,11,11,6,6,6,6,6
,,>= 2019,R-6,Fiberglass,60,24,24,24,24,24,24,24,24,24,15,15,11,11,6,6,6
,,>= 2019,R-6,Cellulose,30,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6
,,>= 2019,R-6,Cellulose,38,18,18,12,12,12,12,6,6,6,6,6,6,6,6,6,6
,,>= 2019,R-6,Cellulose,40,18,18,18,12,12,12,6,6,6,6,6,6,6,6,6,6
,,>= 2019,R-6,Cellulose,43,18,18,18,18,12,12,12,6,6,6,6,6,6,6,6,6
,,>= 2019,R-6,Cellulose,49,31,31,18,18,18,18,12,12,6,6,6,6,6,6,6,6
,,>= 2019,R-6,Cellulose,60,31,31,31,31,31,31,18,18,12,12,6,6,6,6,6,6
,,>= 2019,R-4.2,Fiberglass,30,13,13,13,13,9,9,9,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,,>= 2019,R-4.2,Fiberglass,38,22,22,22,13,13,13,13,9,9,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,,>= 2019,R-4.2,Fiberglass,40,22,22,22,22,13,13,13,13,9,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,,>= 2019,R-4.2,Fiberglass,43,22,22,22,22,22,13,13,13,9,9,4.2,4.2,4.2,4.2,4.2,4.2
,,>= 2019,R-4.2,Fiberglass,49,22,22,22,22,22,22,22,22,13,9,9,4.2,4.2,4.2,4.2,4.2
,,>= 2019,R-4.2,Fiberglass,60,22,22,22,22,22,22,22,22,22,22,13,9,9,4.2,4.2,4.2
,,>= 2019,R-4.2,Cellulose,30,15,9,9,9,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,,>= 2019,R-4.2,Cellulose,38,15,15,15,9,9,9,9,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,,>= 2019,R-4.2,Cellulose,40,29,15,15,15,9,9,9,9,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,,>= 2019,R-4.2,Cellulose,43,29,15,15,15,15,9,9,9,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,,>= 2019,R-4.2,Cellulose,49,29,29,29,15,15,15,15,9,9,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,,>= 2019,R-4.2,Cellulose,60,29,29,29,29,29,29,15,15,15,9,9,4.2,4.2,4.2,4.2,4.2
,ENDTABLE,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,
,TABLE  BuriedDuctLevel,,,,,,,,,,,,,,,,,,,,
,,CodeBase,DuctInsul,EffR,Level,,,,,,,,,,,,,,,,
,,>= 2019,R-8,>=26,Deeply,,,,,,,,,,,,,,,,
,,>= 2019,R-8,>=18,Fully,,,,,,,,,,,,,,,,
,,>= 2019,R-8,>=13,Partially,,,,,,,,,,,,,,,,
,,>= 2019,R-8,*,Not,,,,,,,,,,,,,,,,
,,>= 2019,R-6,>=24,Deeply,,,,,,,,,,,,,,,,
,,>= 2019,R-6,>=15,Fully,,,,,,,,,,,,,,,,
,,>= 2019,R-6,>=11,Partially,,,,,,,,,,,,,,,,
,,>= 2019,R-6,*,Not,,,,,,,,,,,,,,,,
,,>= 2019,R-4.2,>=22,Deeply,,,,,,,,,,,,,,,,
,,>= 2019,R-4.2,>=13,Fully,,,,,,,,,,,,,,,,
,,>= 2019,R-4.2,>=9,Partially,,,,,,,,,,,,,,,,
,,>= 2019,R-4.2,*,Not,,,,,,,,,,,,,,,,
