Filename,Variable name,Units,Variable reference,Index type key,Variable type key,Keyed value
AirflowNetworkBalanceManager.cc,"AFN Zone Outdoor Air Mass Flow Rate""",,OutputProcessor::Unit::kg_s,exchangeData(i).SumMHr,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Mass Flow Rate""",,OutputProcessor::Unit::kg_s,exchangeData(i).SumMMHr,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Outdoor Air CO2 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,exchangeData(i).SumMHrCO,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing CO2 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,exchangeData(i).SumMMHrCO,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Total CO2 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,exchangeData(i).TotalCO2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Outdoor Air Mass Flow Rate""",,OutputProcessor::Unit::kg_s,exchangeData(i).SumMHr,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Mass Flow Rate""",,OutputProcessor::Unit::kg_s,exchangeData(i).SumMMHr,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Outdoor Air Generic Air Contaminant Mass Flow Rate""",,OutputProcessor::Unit::kg_s,exchangeData(i).SumMHrGC,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Generic Air Contaminant Mass Flow Rate""",,OutputProcessor::Unit::kg_s,exchangeData(i).SumMMHrGC,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Total Generic Air Contaminant Mass Flow Rate""",,OutputProcessor::Unit::kg_s,exchangeData(i).TotalGC,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"""AFN Node Temperature""",,OutputProcessor::Unit::C,AirflowNetworkNodeSimu(i).TZ,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Node Humidity Ratio""",,OutputProcessor::Unit::kgWater_kgDryAir,AirflowNetworkNodeSimu(i).WZ,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Node CO2 Concentration""",,OutputProcessor::Unit::ppm,AirflowNetworkNodeSimu(i).CO2Z,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Node Generic Air Contaminant Concentration""",,OutputProcessor::Unit::ppm,AirflowNetworkNodeSimu(i).GCZ,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Node Total Pressure""",,OutputProcessor::Unit::Pa,AirflowNetworkNodeSimu(i).PZ,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Node Wind Pressure""",,OutputProcessor::Unit::Pa,AirflowNetworkNodeSimu(i).PZ,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 1 to Node 2 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,dataAirflowNetworkBalanceManager.linkReport(i).FLOW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 2 to Node 1 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,dataAirflowNetworkBalanceManager.linkReport(i).FLOW2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 1 to Node 2 Volume Flow Rate""",,OutputProcessor::Unit::m3_s,dataAirflowNetworkBalanceManager.linkReport(i).VolFLOW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 2 to Node 1 Volume Flow Rate""",,OutputProcessor::Unit::m3_s,dataAirflowNetworkBalanceManager.linkReport(i).VolFLOW2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 1 to Node 2 Pressure Difference""",,OutputProcessor::Unit::Pa,AirflowNetworkLinkSimu(i).DP,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Venting Window or Door Opening Factor""",,OutputProcessor::Unit::None,MultizoneSurfaceData(i).OpenFactor,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Venting Window or Door Opening Modulation Multiplier""",,OutputProcessor::Unit::None,DataSurfaces::SurfWinVentingOpenFactorMultRep(SurfNum),"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Venting Inside Setpoint Temperature""",,OutputProcessor::Unit::C,DataSurfaces::SurfWinInsideTempForVentingRep(SurfNum),"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Venting Availability Status""",,OutputProcessor::Unit::None,DataSurfaces::SurfWinVentingAvailabilityRep(SurfNum),"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Venting Window or Door Opening Factor at Previous Time Step""",,OutputProcessor::Unit::None,MultizoneSurfaceData(i).OpenFactorLast,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Opening Elapsed Time""",,OutputProcessor::Unit::min,MultizoneSurfaceData(i).OpenElapsedTime,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Closing Elapsed Time""",,OutputProcessor::Unit::min,MultizoneSurfaceData(i).CloseElapsedTime,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Opening Status at Previous Time Step""",,OutputProcessor::Unit::None,MultizoneSurfaceData(i).PrevOpeningstatus,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Opening Status""",,OutputProcessor::Unit::None,MultizoneSurfaceData(i).OpeningStatus,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Opening Probability Status""",,OutputProcessor::Unit::None,MultizoneSurfaceData(i).OpeningProbStatus,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Surface Closing Probability Status""",,OutputProcessor::Unit::None,MultizoneSurfaceData(i).ClosingProbStatus,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Infiltration Sensible Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).MultiZoneInfiSenGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Infiltration Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).MultiZoneInfiSenGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Ventilation Sensible Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).MultiZoneVentSenGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Ventilation Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).MultiZoneVentSenGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Sensible Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).MultiZoneMixSenGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).MultiZoneMixSenGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Infiltration Sensible Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).MultiZoneInfiSenLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Infiltration Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).MultiZoneInfiSenLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Ventilation Sensible Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).MultiZoneVentSenLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Ventilation Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).MultiZoneVentSenLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Sensible Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).MultiZoneMixSenLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).MultiZoneMixSenLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Infiltration Latent Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).MultiZoneInfiLatGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Infiltration Latent Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).MultiZoneInfiLatGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Infiltration Latent Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).MultiZoneInfiLatLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Infiltration Latent Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).MultiZoneInfiLatLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Ventilation Latent Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).MultiZoneVentLatGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Ventilation Latent Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).MultiZoneVentLatGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Ventilation Latent Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).MultiZoneVentLatLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Ventilation Latent Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).MultiZoneVentLatLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Latent Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).MultiZoneMixLatGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Latent Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).MultiZoneMixLatGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Latent Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).MultiZoneMixLatLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Latent Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).MultiZoneInfiLatLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Leaked Air Sensible Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).LeakSenGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Leaked Air Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).LeakSenGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Leaked Air Sensible Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).LeakSenLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Leaked Air Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).LeakSenLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Leaked Air Latent Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).LeakLatGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Leaked Air Latent Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).LeakLatGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Leaked Air Latent Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).LeakLatLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Leaked Air Latent Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).LeakLatLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Conduction Sensible Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).CondSenGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Conduction Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).CondSenGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Conduction Sensible Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).CondSenLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Conduction Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).CondSenLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Diffusion Latent Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).DiffLatGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Diffusion Latent Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).DiffLatGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Diffusion Latent Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).DiffLatLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Diffusion Latent Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).DiffLatLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Radiation Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).RadGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Radiation Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).RadGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Radiation Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).RadLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Duct Radiation Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).RadLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Distribution Sensible Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).TotalSenGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Distribution Sensible Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).TotalSenGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Distribution Sensible Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).TotalSenLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Distribution Sensible Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).TotalSenLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Distribution Latent Heat Gain Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).TotalLatGainW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Distribution Latent Heat Gain Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).TotalLatGainJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Distribution Latent Heat Loss Rate""",,OutputProcessor::Unit::W,AirflowNetworkReportData(i).TotalLatLossW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Distribution Latent Heat Loss Energy""",,OutputProcessor::Unit::J,AirflowNetworkReportData(i).TotalLatLossJ,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"""AFN Zone Infiltration Volume""",,OutputProcessor::Unit::m3,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).InfilVolume,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"""AFN Zone Infiltration Mass""",,OutputProcessor::Unit::kg,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).InfilMass,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Infiltration Air Change Rate""",,OutputProcessor::Unit::ach,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).InfilAirChangeRate,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Volume""",,OutputProcessor::Unit::m3,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).MixVolume,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Mixing Mass""",,OutputProcessor::Unit::kg,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).MixMass,"""System""","""Sum"""
AirflowNetworkBalanceManager.cc,"AFN Zone Exfiltration Heat Transfer Rate""",,OutputProcessor::Unit::W,dataAirflowNetworkBalanceManager.AirflowNetworkZnRpt(i).ExfilTotalLoss,"""System""","""Average"""
