Filename,Variable name,Units,Variable reference,Index type key,Variable type key,Keyed value
BaseboardElectric.cc,"""Baseboard Total Heating Energy""",Constant::Units::J,thisBaseboard.Energy,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Sum,thisBaseboard.EquipName
BaseboardElectric.cc,"""Baseboard Total Heating Rate""",Constant::Units::W,thisBaseboard.Power,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,thisBaseboard.EquipName
BaseboardElectric.cc,"""Baseboard Electricity Energy""",Constant::Units::J,thisBaseboard.ElecUseLoad,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Sum,thisBaseboard.EquipName
BaseboardElectric.cc,"""Baseboard Electricity Rate""",Constant::Units::W,thisBaseboard.ElecUseRate,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,thisBaseboard.EquipName
BaseboardRadiator.cc,"""Baseboard Total Heating Energy""",Constant::Units::J,thisBaseboard.Energy,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Sum,thisBaseboard.EquipID
BaseboardRadiator.cc,"""Baseboard Hot Water Energy""",Constant::Units::J,thisBaseboard.Energy,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Sum,thisBaseboard.EquipID
BaseboardRadiator.cc,"""Baseboard Total Heating Rate""",Constant::Units::W,thisBaseboard.Power,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,thisBaseboard.EquipID
BaseboardRadiator.cc,"""Baseboard Hot Water Mass Flow Rate""",Constant::Units::kg_s,thisBaseboard.WaterMassFlowRate,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,thisBaseboard.EquipID
BaseboardRadiator.cc,"""Baseboard Air Mass Flow Rate""",Constant::Units::kg_s,thisBaseboard.AirMassFlowRate,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,thisBaseboard.EquipID
BaseboardRadiator.cc,"""Baseboard Air Inlet Temperature""",Constant::Units::C,thisBaseboard.AirInletTemp,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,thisBaseboard.EquipID
BaseboardRadiator.cc,"""Baseboard Air Outlet Temperature""",Constant::Units::C,thisBaseboard.AirOutletTemp,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,thisBaseboard.EquipID
BaseboardRadiator.cc,"""Baseboard Water Inlet Temperature""",Constant::Units::C,thisBaseboard.WaterInletTemp,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,thisBaseboard.EquipID
BaseboardRadiator.cc,"""Baseboard Water Outlet Temperature""",Constant::Units::C,thisBaseboard.WaterOutletTemp,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,thisBaseboard.EquipID
Boilers.cc,"""Boiler Heating Rate""",Constant::Units::W,this->BoilerLoad,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,this->Name
Boilers.cc,"""Boiler Heating Energy""",Constant::Units::J,this->BoilerEnergy,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Sum,this->Name
Boilers.cc,"format(""Boiler {} Rate"", sFuelType)",Constant::Units::W,this->FuelUsed,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,this->Name
Boilers.cc,"format(""Boiler {} Energy"", sFuelType)",Constant::Units::J,this->FuelConsumed,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Sum,this->Name
Boilers.cc,"""Boiler Inlet Temperature""",Constant::Units::C,this->BoilerInletTemp,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,this->Name
Boilers.cc,"""Boiler Outlet Temperature""",Constant::Units::C,this->BoilerOutletTemp,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,this->Name
Boilers.cc,"""Boiler Mass Flow Rate""",Constant::Units::kg_s,this->BoilerMassFlowRate,OutputProcessor::TimeStepType::System,OutputProcessor::StoreType::Average,this->Name
